delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
9.748046875,0.283652964383,1.19104621389,10.0,0,111,0.0283652964383,0.061842918396,0_1_0
115.75,0.430287235055,0.578902457406,20.0,0,149,0.0430287235055,0.000176906585693,0_0_1
87.625,0.596177794449,1.25011426776,10.0,0,189,0.0596177794449,0.00260090827942,0_1_0
127.875,0.488250369943,1.08268812935,20.0,0,278,0.0488250369943,0.000262975692749,0_0_1
177.712890625,0.425804893549,0.8111629381,10.0,0,354,0.0425804893549,0.000221967697144,0_1_0
203.0,0.395613793103,0.596262975779,1.0,0,401,0.0395613793103,0.000208854675293,1_0_0
225.75,0.410055455042,0.515772609819,1.0,0,499,0.0410055455042,0.000229835510254,1_0_0
314.25,0.381921379605,0.334828429645,1.0,0,542,0.0381921379605,0.000247001647949,1_0_0
360.25,0.413834684685,0.228711373799,1.0,0,581,0.0413834684685,0.000175952911377,1_0_0
412.25,0.416799228581,0.158755428782,1.0,0,640,0.0416799228581,0.000170946121216,1_0_0
463.125,0.412056435387,0.101860923542,1.0,0,684,0.0412056435387,0.000171899795532,1_0_0
447.0,0.407223880597,0.064660412758,1.0,0,723,0.0407223880597,0.000155925750732,1_0_0
473.0,0.409102120771,0.0385657763086,1.0,0,781,0.0409102120771,0.000173091888428,1_0_0
0.0,0.249739130435,0.255288888889,1.0,0,829,0.0249739130435,0.00262594223022,1_0_0
0.0,0.280195121951,3.32547368421,11.0,0,869,0.0280195121951,0.00236701965332,0_1_0
34.0,0.306346666667,3.35066666667,21.0,0,904,0.0306346666667,0.00255799293518,0_0_1
49.75,0.3949,4.08206091259,31.0,0,938,0.03949,0.00201606750488,0_0_1
122.0,0.352392638037,2.872,40.0,0,989,0.0352392638037,0.000230073928833,0_0_1
143.625,0.380901856764,2.46294055866,30.0,0,1030,0.0380901856764,0.000213861465454,0_0_1
185.25,0.412718609234,1.90261512083,20.0,0,1082,0.0412718609234,0.000218868255615,0_0_1
255.0,0.388108108108,1.37228668942,10.0,0,1122,0.0388108108108,0.000151872634888,0_1_0
298.0,0.371670588235,1.16247619048,5.0,0,1166,0.0371670588235,0.00019383430481,0_1_0
313.0,0.357983002833,1.08006837607,2.5,0,1221,0.0357983002833,0.000252962112427,1_0_0
348.0,0.355298969072,0.952373056995,1.25,0,1255,0.0355298969072,0.000252962112427,1_0_0
386.0,0.350572769953,0.839924528302,1.0,0,1293,0.0350572769953,0.000211000442505,1_0_0
411.875,0.359225315857,0.76400385314,1.0,0,1361,0.0359225315857,0.000236034393311,1_0_0
508.0,0.335416058394,0.589128205128,1.0,0,1415,0.0335416058394,0.000231027603149,1_0_0
574.0,0.318071661238,0.506823529412,1.0,0,1481,0.0318071661238,0.000260829925537,1_0_0
607.0,0.319604327666,0.463082170543,1.0,0,1515,0.0319604327666,0.000223875045776,1_0_0
627.0,0.329445730173,0.43008217414,1.0,0,1576,0.0329445730173,0.000238180160522,1_0_0
684.0,0.332760330579,0.363957782743,1.0,0,1619,0.0332760330579,0.000165939331055,1_0_0
709.25,0.338783268028,0.321070348564,1.0,0,1681,0.0338783268028,0.000222206115723,1_0_0
755.5,0.34794910399,0.27335598403,1.0,0,1722,0.034794910399,0.000210046768188,1_0_0
818.0,0.347715948778,0.22814953271,1.0,0,1761,0.0347715948778,0.000192880630493,1_0_0
898.0,0.330325878594,0.196376068376,1.0,0,1840,0.0330325878594,0.000190019607544,1_0_0
945.0,0.32590070922,0.175300101729,1.0,0,1889,0.032590070922,0.000276803970337,1_0_0
965.75,0.33205090644,0.158913585667,1.0,0,1956,0.033205090644,0.000178813934326,1_0_0
1042.875,0.328899141919,0.126542732979,1.0,0,2113,0.0328899141919,0.000235080718994,1_0_0
1165.625,0.296573593158,0.0942825332248,1.0,0,2167,0.0296573593158,0.000211000442505,1_0_0
1205.625,0.305493838916,0.0727644900654,1.0,0,2200,0.0305493838916,0.000205039978027,1_0_0
1246.5,0.313649173936,0.0525670703453,1.0,0,2247,0.0313649173936,0.000257968902588,1_0_0
1307.5,0.316999312649,0.0332675035818,1.0,0,2448,0.0316999312649,0.000209093093872,1_0_0
1569.0,0.278453697949,0.0142974486621,1.0,0,2545,0.0278453697949,0.000257968902588,1_0_0
1690.0,0.26561849711,0.00664814814815,1.0,0,2666,0.026561849711,0.000222206115723,1_0_0
121.0,0.072251572327,0.072251572327,1.0,0,2826,0.0072251572327,0.000244855880737,1_0_0
15.0,0.212740740741,0.216754716981,1.0,0,2882,0.0212740740741,0.00294780731201,1_0_0
119.0,0.0718,0.804891719745,11.0,0,3039,0.00718,0.00031304359436,0_1_0
126.4375,0.159321060231,0.681841403661,1.0,0,3081,0.0159321060231,0.000180006027222,1_0_0
264.0,0.188327868852,0.266278145695,1.0,0,3185,0.0188327868852,0.000255107879639,1_0_0
288.5,0.213662209442,0.208261413628,1.0,0,3270,0.0213662209442,0.000239849090576,1_0_0
404.0,0.206062780269,0.103963800905,1.0,0,3326,0.0206062780269,0.000232934951782,1_0_0
485.0,0.196189753321,0.065896749522,1.0,0,3406,0.0196189753321,0.000230073928833,1_0_0
732.0,0.14842377261,0.029838961039,1.0,0,3653,0.014842377261,0.000247001647949,1_0_0
811.0,0.148145369285,0.013531213192,1.0,0,3732,0.0148145369285,0.000207901000977,1_0_0
264.0,0.0380397350993,0.0380397350993,1.0,0,4034,0.00380397350993,0.000249862670898,1_0_0
30.0,0.392013880856,0.392013880856,1.0,0,4329,0.0392013880856,0.00278091430664,1_0_0
282.0,0.0369389067524,0.410285714286,11.0,0,4637,0.00369389067524,0.000271081924438,0_1_0
939.0,0.0237355371901,0.119046632124,5.5,0,5294,0.00237355371901,0.000293970108032,0_1_0
1084.0,0.0309649595687,0.0931459459459,2.75,0,5439,0.00309649595687,0.000259160995483,1_0_0
1518.0,0.0297039431157,0.0595233160622,1.375,0,5873,0.00297039431157,0.000243902206421,1_0_0
2232.0,0.0254046881911,0.0356138175376,1.0,0,6587,0.00254046881911,0.000249147415161,1_0_0
2246.375,0.0309062041524,0.0297059039305,1.0,0,6620,0.00309062041524,0.000211000442505,1_0_0
2300.0,0.039443776824,0.0197558039553,1.0,0,6656,0.0039443776824,0.000156879425049,1_0_0
2724.0,0.0375424836601,0.0125323636364,1.0,0,7080,0.00375424836601,0.00025200843811,1_0_0
2978.0,0.0381914893617,0.00764846870839,1.0,0,7334,0.00381914893617,0.00026798248291,1_0_0
3342.0,0.0374756820878,0.0034109263658,1.0,0,7699,0.00374756820878,0.000253200531006,1_0_0
483.0,0.0225254901961,0.0225697445972,1.0,0,8208,0.00225254901961,0.000229835510254,1_0_0
404.0,0.0267162790698,0.0267162790698,1.0,0,8638,0.00267162790698,0.000226020812988,1_0_0
416.0,0.0259909502262,0.0259909502262,1.0,0,9081,0.00259909502262,0.000246047973633,1_0_0
260.0,0.0400278745645,0.0401678321678,1.0,0,9368,0.00400278745645,0.000266075134277,1_0_0
74.0,0.113742574257,0.11488,1.0,0,9472,0.0113742574257,0.00298404693604,1_0_0
251.0,0.0408825622776,0.456202166065,11.0,0,9749,0.00408825622776,0.000441789627075,0_1_0
530.0,0.0410285714286,0.206618705036,5.5,0,10028,0.00410285714286,0.000272035598755,0_1_0
624.25,0.0572602695764,0.168194337328,2.75,0,10684,0.00572602695764,0.000251054763794,1_0_0
2294.0,0.0247160068847,0.0396137931034,1.375,0,11793,0.00247160068847,0.000224828720093,1_0_0
2907.0,0.023468845761,0.0274176610979,1.0,0,12406,0.0023468845761,0.000359058380127,1_0_0
2940.0,0.0270760942761,0.0232393796359,1.0,0,12438,0.00270760942761,0.000391960144043,1_0_0
3080.0,0.0295511254019,0.0184932388925,1.0,0,12578,0.00295511254019,0.000228881835938,1_0_0
3219.0,0.0318227146814,0.0141608628659,1.0,0,12717,0.00318227146814,0.000224113464355,1_0_0
3732.0,0.0305369484317,0.00917083555082,1.0,0,13230,0.00305369484317,0.000231981277466,1_0_0
3596.0,0.0324943035076,0.00588835010792,1.0,0,14245,0.00324943035076,0.000258922576904,1_0_0
500.0,0.0217988614801,0.0218403041825,1.0,0,14771,0.00217988614801,0.000250816345215,1_0_0
418.0,0.0258157303371,0.0258738738739,1.0,0,15216,0.00258157303371,0.000228881835938,1_0_0
1195.0,0.00940868140868,0.0188173628174,1.0,0,16438,0.000940868140868,0.000319957733154,1_0_0
272.0,0.0176738461538,0.0385503355705,1.0,0,16516,0.00176738461538,0.000224828720093,1_0_0
1005.0,0.0111425800194,0.0222851600388,1.0,0,17547,0.00111425800194,0.000357866287231,1_0_0
625.0,0.0138995765275,0.0176466973886,1.0,0,18169,0.00138995765275,0.000271081924438,1_0_0
780.0,0.014253101737,0.014253101737,1.0,0,18975,0.0014253101737,0.000247001647949,1_0_0
1154.0,0.00973559322034,0.0194711864407,1.0,0,20155,0.000973559322034,0.000394105911255,1_0_0
184.0,0.0189570957096,0.0547047619048,1.0,0,20187,0.00189570957096,0.000169038772583,1_0_0
1383.0,0.00815330021292,0.0163066004258,1.0,0,21597,0.000815330021292,0.000230073928833,1_0_0
1140.0,0.0105977859779,0.00985248713551,1.0,0,22355,0.00105977859779,0.00025200843811,1_0_0
1539.0,0.00734057507987,0.0146811501597,1.0,0,23920,0.000734057507987,0.000259160995483,1_0_0
683.0,0.0134284044418,0.0162031029619,1.0,0,24066,0.00134284044418,0.000293016433716,1_0_0
267.0,0.039074829932,0.0392081911263,1.0,0,24361,0.0039074829932,0.000231027603149,1_0_0
587.0,0.0187100977199,0.0187406199021,1.0,0,24974,0.00187100977199,0.000256061553955,1_0_0
1574.0,0.00718,0.01436,1.0,0,26575,0.000718,0.00034499168396,1_0_0
520.625,0.0229160646808,0.0270206731345,1.0,0,26719,0.00229160646808,0.000291109085083,1_0_0
42.0,0.166492753623,0.168941176471,1.0,0,26791,0.0166492753623,0.00311303138733,1_0_0
152.0,0.0634696132597,0.70993258427,11.0,0,26970,0.00634696132597,0.000247955322266,0_1_0
