delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
11.084073351,3.96011065137,9.52891181814,10.0,0,45,0,0,0
62.3125112131,3.39746111516,9.06731561187,30.0,0,78,0,0,0
348.478217006,7.1521340186,24.9088868617,180.0,0,169,0,0,0
762.131462723,5.83706477032,20.3882566257,230.0,0,241,0,0,0
1008.86254734,6.3664170374,20.1115742869,250.0,0,289,0,0,0
1223.43063265,7.31131215475,19.4556214989,290.0,0,321,0,0,0
2879.22043516,10.3143561367,16.7427360136,321.0,0,528,0,0,0
3643.65098522,11.3983799643,18.4722939273,351.0,0,641,0,0,0
3742.05936107,12.001713403,17.579701124,312.0,0,692,0,0,0
4246.813084,11.8267926354,15.8930038251,303.0,0,747,0,0,0
6883.34293167,12.4207241314,7.28872343271,188.0,0,1107,0,0,0
6055.11466078,9.76434894929,4.22321124785,84.0,0,1209,0,0,0
1458.20809565,8.44824191714,8.5825484417,26.0,0,1263,0,0,0
155.5,10.6416344674,17.7828989762,49.0,0,1309,0,0,0
435.498046875,11.7446129638,23.6566050243,98.0,0,1404,0,0,0
1176.18792674,11.8673320617,24.2432940519,212.0,0,1592,0,0,0
1379.85145128,11.6922661329,24.6444816215,236.0,0,1623,0,0,0
3500.3604375,11.7387461241,24.6263149076,448.0,0,1975,0,0,0
3629.08435654,12.1327371781,24.2120449105,446.0,0,2016,0,0,0
4052.82628843,12.4222201301,24.061385912,476.0,0,2049,0,0,0
8840.37404229,13.2251938614,12.0316343595,351.0,0,2595,0,0,0
9558.53643306,10.6947811898,6.46642149855,96.0,0,2866,0,0,0
5661.16322997,8.3287158146,4.63787429981,20.0,0,2904,0,0,0
215.546875,9.86535182211,15.8262956475,40.0,0,2972,0,0,0
474.689453125,11.0648421421,19.7337009333,80.0,0,3051,0,0,0
1000.94474173,11.8117720041,25.0030569153,168.0,0,3207,0,0,0
2476.06250127,11.9913037838,26.1816577331,334.0,0,3535,0,0,0
6803.60821184,12.5518909984,16.5622861366,445.0,0,4062,0,0,0
7173.63380617,12.8062282553,16.124616805,451.0,0,4116,0,0,0
10344.5255536,12.0379170783,7.71693603306,177.0,0,4501,0,0,0
8735.95535049,8.65812595954,4.33427484398,20.0,0,4619,0,0,0
1406.8059683,11.2979392554,11.4358019676,22.0,0,4662,0,0,0
164.484375,10.8021033055,13.1403163858,32.0,0,4700,0,0,0
366.83203125,10.4310196792,19.7394581867,64.0,0,4761,0,0,0
749.66187048,11.9506944825,22.275589797,128.0,0,4886,0,0,0
1886.50472033,12.0855960598,25.0305730888,280.0,0,5134,0,0,0
5173.43305956,12.1470753394,19.7892383188,460.0,0,5588,0,0,0
5364.08969108,12.3067573977,19.0728711991,450.0,0,5619,0,0,0
10397.8822226,13.0669246686,9.46788038227,288.0,0,6157,0,0,0
10055.6236156,9.2554028868,5.98173079141,62.0,0,6408,0,0,0
5354.87638505,9.07886533321,5.58002246999,20.0,0,6447,0,0,0
273.984375,9.44131710726,13.8714441365,40.0,0,6517,0,0,0
493.55078125,10.7466060085,18.687340595,80.0,0,6595,0,0,0
1017.71566439,11.3119397013,24.1595094612,160.0,0,6751,0,0,0
2700.97584783,12.1855286913,24.4098220625,368.0,0,7063,0,0,0
7497.05013503,13.6533478904,15.037855451,468.0,0,7653,0,0,0
10574.1687442,12.4328061373,8.82447492892,195.0,0,8116,0,0,0
10191.0681692,8.74968454906,3.94402669406,50.0,0,8229,0,0,0
1063.19190406,10.8492367995,10.4260974234,20.0,0,8274,0,0,0
431.691312454,9.76707467835,12.3036788704,26.0,0,8308,0,0,0
319.171875,10.387735312,18.3264603215,51.0,0,8357,0,0,0
617.8359375,11.5868461799,23.6322187512,102.0,0,8455,0,0,0
1329.91322994,11.6859319797,24.7359721786,204.0,0,8650,0,0,0
3582.96771099,12.5607989409,24.6669245333,440.0,0,9045,0,0,0
9245.46573358,12.7452234588,12.9872258169,407.0,0,9681,0,0,0
10773.7398121,11.2725252604,7.22199135688,130.0,0,10012,0,0,0
