delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
203.134309888,29.3692494427,48.3487231866,90.0,0,261,0,0,0
417.669140837,17.7089434571,25.5010388733,110.0,0,298,0,0,0
230.647883864,18.1560040191,25.4425799843,91.0,0,335,0,0,0
267.376872005,18.0243953802,21.2911461611,81.0,0,371,0,0,0
454.841833538,11.8990382618,5.81459953494,43.5,0,459,0,0,0
233.288058627,9.502997706,6.31559322441,19.5,0,503,0,0,0
46.4797316904,10.4772089054,9.82703530459,10.75,0,541,0,0,0
28.632380139,10.7728376547,10.508852032,10.75,0,578,0,0,0
122.991690899,9.74639832743,19.5454836726,70.75,0,633,0,0,0
273.158763049,11.0759280511,15.5564128802,80.75,0,716,0,0,0
377.861131579,11.2592531609,11.2268136321,80.75,0,797,0,0,0
371.001261682,11.0787044843,8.09575205983,40.375,0,862,0,0,0
220.131076078,8.48622995514,6.35543915754,17.21875,0,909,0,0,0
76.9632373032,10.0264083089,8.99545940214,11.46875,0,943,0,0,0
34.1753535867,11.1796561044,10.5075617339,11.46875,0,981,0,0,0
61.5153026775,13.898516486,18.3327751481,51.46875,0,1027,0,0,0
245.557859503,11.5605983898,20.3862871621,101.46875,0,1120,0,0,0
441.880622718,11.3919050128,11.2371648771,90.15625,0,1222,0,0,0
474.135038055,10.9351044229,7.36545913415,46.171875,0,1298,0,0,0
402.861485784,9.57016374427,5.24271439736,25.78125,0,1333,0,0,0
145.536128089,8.63616016316,7.14308491223,12.890625,0,1375,0,0,0
47.1181972882,10.508461773,9.99353344162,11.54296875,0,1419,0,0,0
59.7783024241,13.1308594182,16.4625248826,31.54296875,0,1468,0,0,0
146.204540628,11.5762304717,14.1918407011,61.54296875,0,1530,0,0,0
255.670465241,10.6314814988,12.6528029407,61.54296875,0,1594,0,0,0
287.072012596,11.1744155991,11.1962256096,61.54296875,0,1659,0,0,0
285.619970687,11.1769805054,11.2907559301,61.54296875,0,1723,0,0,0
285.910948979,11.1858749517,11.2654267777,61.54296875,0,1787,0,0,0
285.235059488,11.2184878389,11.3019738435,61.54296875,0,1852,0,0,0
285.200650816,11.1777811919,11.3219811954,61.54296875,0,1915,0,0,0
286.758516263,11.1759190223,11.2983780542,61.54296875,0,1980,0,0,0
287.083100216,11.2052509327,11.1715843472,61.54296875,0,2043,0,0,0
285.689788271,11.2140937218,11.2750502533,61.54296875,0,2108,0,0,0
286.821354443,11.1489318516,11.1614537898,61.54296875,0,2170,0,0,0
284.165154028,11.2081193311,11.3045672666,61.54296875,0,2235,0,0,0
286.649737974,11.0824945743,11.1862165082,61.54296875,0,2299,0,0,0
285.889810661,11.104456157,11.2449034864,61.54296875,0,2362,0,0,0
286.09550686,11.1222031532,11.1984513964,61.54296875,0,2426,0,0,0
284.954804833,11.138451718,11.2710460694,61.54296875,0,2490,0,0,0
285.419502184,11.167920414,11.1858485388,61.54296875,0,2555,0,0,0
286.164702324,11.1061654505,11.2486630632,61.54296875,0,2620,0,0,0
287.753079958,11.1322260032,11.1033631368,61.54296875,0,2682,0,0,0
284.947705697,11.1336909745,11.3033023517,61.54296875,0,2747,0,0,0
287.400988937,11.1036494868,11.2526036157,61.54296875,0,2811,0,0,0
286.460707048,11.204193885,11.25412434,61.54296875,0,2876,0,0,0
286.297158941,11.1323689697,11.1972842833,61.54296875,0,2940,0,0,0
284.855942326,11.167058449,11.2669014833,61.54296875,0,3003,0,0,0
286.801678434,11.1148481485,11.2020608831,61.54296875,0,3066,0,0,0
285.039443234,11.1571886875,11.2715297687,61.54296875,0,3131,0,0,0
292.211894126,11.0047107864,11.0370254948,61.54296875,0,3210,0,0,0
361.998836204,9.26077858474,9.13862728725,55.8359375,0,3301,0,0,0
271.574543573,16.9979211259,15.4266728291,34.5390625,0,3351,0,0,0
117.299230438,14.5491021036,14.3591370483,27.064453125,0,3408,0,0,0
107.108884793,11.5559683617,11.0193921193,27.064453125,0,3447,0,0,0
109.586470173,11.5655137451,11.4815274032,27.064453125,0,3493,0,0,0
121.150513901,10.925341149,10.9938996818,27.064453125,0,3532,0,0,0
120.270006034,11.3408684375,11.0387344753,27.064453125,0,3569,0,0,0
117.47188201,11.2146645679,11.0190672598,27.064453125,0,3615,0,0,0
115.741200679,11.2773989768,11.3377668763,27.064453125,0,3652,0,0,0
120.034158472,10.8056337633,10.8698020035,27.064453125,0,3689,0,0,0
119.763776583,10.904005543,11.0250386229,27.064453125,0,3737,0,0,0
