delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
3.6762046814,1.14564919918,3.84542668104,10.0,0,88,0,0,0
65.852789402,1.2234515447,1.62843654499,20.0,0,132,0,0,0
20.75,2.24988409979,4.99336363636,30.0,0,157,0,0,0
4.0664380302,20.7154722828,28.3687460862,40.0,0,183,0,0,0
12.513110422,24.7440218941,24.8146799385,40.0,0,256,0,0,0
67.419921875,6.02513418606,6.0315199062,40.0,0,288,0,0,0
95.7451997741,4.34866278858,4.35737788165,40.0,0,320,0,0,0
48.4179238141,9.53036615668,9.54379169713,40.0,0,351,0,0,0
55.8336751021,7.06045216469,7.06496315327,40.0,0,397,0,0,0
71.2149671987,5.69413442809,5.70878748932,40.0,0,423,0,0,0
22.8987819623,19.0183367695,19.0509201272,40.0,0,458,0,0,0
29.75,12.1833263158,12.2085192982,40.0,0,483,0,0,0
54.6255822819,7.22933576458,7.25003444868,40.0,0,510,0,0,0
65.4869226309,6.20795350905,6.19339953408,40.0,0,542,0,0,0
56.1018624827,7.21280915658,7.23265043649,40.0,0,587,0,0,0
13.2298229736,32.6123354517,32.5302427584,40.0,0,636,0,0,0
40.284407514,9.58391508099,9.6183793329,40.0,0,675,0,0,0
79.0005822819,5.40616865582,5.4156785896,40.0,0,753,0,0,0
71.075283659,6.88131252286,6.92012710393,40.0,0,781,0,0,0
24.1379089355,15.0906503092,15.1130878092,40.0,0,820,0,0,0
45.637950866,14.1672754966,14.1620645791,40.0,0,907,0,0,0
70.2247799542,12.8390918864,12.8517510265,40.0,0,993,0,0,0
84.8254849313,5.05689224932,5.05876655092,40.0,0,1048,0,0,0
58.6133989747,7.18626388678,7.20129593312,40.0,0,1094,0,0,0
46.2759728525,8.84521580814,8.8641614643,40.0,0,1143,0,0,0
68.501953125,6.15171089623,6.15413016155,40.0,0,1184,0,0,0
72.6915106577,5.73876019937,5.76709828563,40.0,0,1210,0,0,0
32.0859196476,13.2104732007,13.2281288927,40.0,0,1237,0,0,0
54.0861816406,8.28286695717,8.19344159124,40.0,0,1316,0,0,0
111.203550856,3.85389930143,3.86685434057,40.0,0,1340,0,0,0
10.5121299765,85.743076967,88.1795065811,40.0,0,1364,0,0,0
23.3830798547,18.4262602068,18.4853779044,40.0,0,1399,0,0,0
44.1410622531,9.90803771947,9.92212473396,40.0,0,1422,0,0,0
60.169921875,7.32842109306,7.35560868572,40.0,0,1468,0,0,0
