delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
3.48709106445,1.15144451964,3.86013065038,10.0,0,25,0,0,0
19.4599860026,5.35777693603,10.7483123857,20.0,0,125,0,0,0
91.4697031461,2.06519829744,3.49856749292,40.0,0,154,0,0,0
24.5336139483,15.2082428782,16.0339778858,40.0,0,181,0,0,0
12.2542833018,34.6349351897,34.6709870075,40.0,0,252,0,0,0
67.6465667039,6.01116446503,6.02438168419,40.0,0,286,0,0,0
94.3467269842,4.40995280816,4.42562458958,40.0,0,317,0,0,0
41.9056129917,10.3928015337,10.455540195,40.0,0,348,0,0,0
35.5692105955,11.5426601593,11.5543813478,40.0,0,395,0,0,0
67.0737953186,5.99195296558,5.9895415209,40.0,0,420,0,0,0
26.1600963706,16.7087742571,16.7547387707,40.0,0,455,0,0,0
29.125,12.4794556331,12.5037946162,40.0,0,481,0,0,0
53.1313928226,7.42788213409,7.44571997085,40.0,0,507,0,0,0
64.0324792375,6.31787553601,6.30899505769,40.0,0,540,0,0,0
56.549086988,7.17495785183,7.19599969348,40.0,0,585,0,0,0
61.8070447351,6.72257544375,6.7371381035,40.0,0,633,0,0,0
42.470355001,9.25600305012,9.28713588103,40.0,0,672,0,0,0
53.9458655157,8.37062996486,8.37653795601,40.0,0,750,0,0,0
99.0765231253,4.24207197928,4.24558099371,40.0,0,773,0,0,0
52.9539279863,10.472284981,10.511632777,40.0,0,819,0,0,0
42.5251285118,13.585403176,13.5841207609,40.0,0,904,0,0,0
62.940649417,13.8478966643,13.8563616473,40.0,0,991,0,0,0
82.3554286199,5.08148458347,5.09059811912,40.0,0,1045,0,0,0
35.2657610727,12.9599030124,13.0261276031,40.0,0,1091,0,0,0
54.2905079513,7.22509144977,7.2414352758,40.0,0,1112,0,0,0
83.0,4.92342857143,5.04967032967,40.0,0,1140,0,0,0
75.152231961,5.57158998922,5.58768843948,40.0,0,1181,0,0,0
71.3501540275,5.69132944031,5.71958001831,40.0,0,1208,0,0,0
29.356045793,13.0701793461,13.1073535314,40.0,0,1235,0,0,0
39.783996582,11.3622258767,11.2559166477,40.0,0,1312,0,0,0
100.561680661,4.14361134775,4.16266050802,40.0,0,1338,0,0,0
11.4631847339,51.1083538525,52.5748924072,40.0,0,1361,0,0,0
23.2355497268,16.95401221,17.0399137693,40.0,0,1397,0,0,0
39.28186593,10.4921156856,10.5175450038,40.0,0,1421,0,0,0
59.2111816406,7.22608463319,7.24002638076,40.0,0,1467,0,0,0
108.529523849,4.14151818244,4.14346006079,40.0,0,1563,0,0,0
31.0400227618,51.5671300752,51.5807095178,40.0,0,1655,0,0,0
53.1987522743,30.3892648032,30.4216850509,40.0,0,1693,0,0,0
51.3274165255,8.13491974359,8.1668278228,40.0,0,1740,0,0,0
80.609375,5.34443289277,5.35601353793,40.0,0,1785,0,0,0
107.958725512,4.07033619416,4.05151026042,40.0,0,1814,0,0,0
19.8891222339,24.9933782869,25.3090937577,40.0,0,1857,0,0,0
41.940060457,11.3418946284,11.3873187736,40.0,0,1950,0,0,0
22.8630246021,24.0097223632,24.0678553943,40.0,0,1997,0,0,0
27.8582035566,23.6568448946,23.7454180531,40.0,0,2089,0,0,0
41.1977710477,16.6961575088,16.7225826254,40.0,0,2110,0,0,0
19.9488792419,21.3019630183,21.2412269262,40.0,0,2159,0,0,0
34.8374679229,20.4753082676,20.592121521,40.0,0,2212,0,0,0
50.327879637,8.1951025653,8.24241564219,40.0,0,2238,0,0,0
82.1879499608,5.25106217334,5.26482816592,40.0,0,2294,0,0,0
59.5210754988,7.21438173454,7.20408691059,40.0,0,2319,0,0,0
49.8498432677,9.57014673788,9.58194599745,40.0,0,2362,0,0,0
64.9232410385,6.45785826531,6.45647556223,40.0,0,2404,0,0,0
87.2312292773,5.08359152381,5.10563199327,40.0,0,2483,0,0,0
129.872847941,3.40669371869,3.41949787055,40.0,0,2549,0,0,0
32.3909167472,30.5278581405,30.1733202157,40.0,0,2613,0,0,0
155.01506963,6.85069550963,6.85138496308,40.0,0,3440,0,0,0
869.350508851,0.513824488499,0.514062148951,40.0,0,3487,0,0,0
867.117567172,0.515765987476,0.28619819614,1.0,0,3522,0,0,0
73.3440283201,4.72527379651,0.862776868448,1.0,0,3572,0,0,0
2.375,2.12955522365,3.14985654105,2.0,0,3602,0,0,0
9.47521972656,2.18742642144,2.50536112196,4.0,0,3626,0,0,0
14.0977740288,2.71792853966,3.42355841464,8.0,0,3649,0,0,0
7.95306101226,12.537528504,14.7235859755,16.0,0,3670,0,0,0
9.62594236494,17.1464234151,24.7555238765,32.0,0,3694,0,0,0
16.3536455035,17.4691951645,18.3834236815,40.0,0,3717,0,0,0
39.3119959235,9.18430945613,11.5489560543,40.0,0,3788,0,0,0
26.0222518692,25.1293564583,25.0909789501,40.0,0,3817,0,0,0
21.3179632729,19.4488938454,19.5059240646,40.0,0,3838,0,0,0
42.0882119506,10.0660987761,10.1502849096,40.0,0,3881,0,0,0
66.689453125,6.35731661081,6.32759424719,40.0,0,3907,0,0,0
75.5960735762,5.63350294538,5.66140790104,40.0,0,3941,0,0,0
83.8990263939,5.08009741426,5.09499075217,40.0,0,3964,0,0,0
38.4965202866,11.3515149606,11.2875775805,40.0,0,4005,0,0,0
40.75,10.1118333333,10.1317777778,40.0,0,4037,0,0,0
59.9697386738,7.0305817139,7.06001440877,40.0,0,4074,0,0,0
63.438306655,6.93552826642,6.953930819,40.0,0,4133,0,0,0
76.7285930733,5.66362869651,5.68314155578,40.0,0,4158,0,0,0
53.7505630176,8.29038342639,8.33319764026,40.0,0,4190,0,0,0
16.639721483,22.1117147254,22.106456872,40.0,0,4211,0,0,0
25.4082017884,15.7544416018,15.8249731124,40.0,0,4232,0,0,0
17.5277634528,24.3661411717,24.3538924602,40.0,0,4265,0,0,0
34.75,12.2302852941,12.2482352941,40.0,0,4312,0,0,0
82.8111427602,5.17999290988,5.17237335888,40.0,0,4336,0,0,0
104.205304785,4.11927086424,4.14206036028,40.0,0,4361,0,0,0
72.982374025,6.595773626,6.58866025986,40.0,0,4394,0,0,0
21.7513351757,52.1697922433,52.3007327112,40.0,0,4465,0,0,0
71.1654729977,5.99642469381,6.01528963252,40.0,0,4491,0,0,0
94.0189674023,4.62236793113,4.62540639302,40.0,0,4523,0,0,0
49.2166788101,8.73020971106,8.75165994613,40.0,0,4551,0,0,0
43.3603618526,11.4827505881,11.4340650939,40.0,0,4628,0,0,0
99.048582762,4.37387148017,4.38526830557,40.0,0,4656,0,0,0
112.412859063,3.8714078103,3.91436124868,40.0,0,4677,0,0,0
18.4398390515,41.5485141429,42.0370218195,40.0,0,4777,0,0,0
97.0576477051,4.4546941382,4.4665619068,40.0,0,4803,0,0,0
50.6555141722,11.3282314054,11.3750149057,40.0,0,4830,0,0,0
18.4038883998,37.8739412464,37.9209988383,40.0,0,4909,0,0,0
75.9831381166,5.63164753079,5.6481291867,40.0,0,4931,0,0,0
25.6846980426,46.215195741,46.2647163826,40.0,0,5118,0,0,0
181.866756699,2.43495597416,2.44502921352,40.0,0,5184,0,0,0
12.8132351887,59.2236643702,59.0833865836,40.0,0,5267,0,0,0
86.5792018911,5.28587301036,5.29331308469,40.0,0,5360,0,0,0
111.654252105,4.11728655626,4.11071351338,40.0,0,5392,0,0,0
18.6748197767,48.8044413658,49.0099246896,40.0,0,5520,0,0,0
10.3401962465,35.8810579045,35.9647992995,40.0,0,5541,0,0,0
31.4627166958,19.004321696,19.0136670515,40.0,0,5676,0,0,0
35.5834078923,33.996602028,34.3737191351,40.0,0,5705,0,0,0
26.9970657617,23.9850927418,24.0015894713,40.0,0,5822,0,0,0
126.825813759,3.42648420467,3.4431872566,40.0,0,5845,0,0,0
21.6665887446,36.0935428883,36.02399083,40.0,0,5975,0,0,0
7.81246486104,39.515946461,39.6256219807,40.0,0,5996,0,0,0
22.375,33.0869402985,36.0675658073,40.0,0,6120,0,0,0
17.44648951,27.3924278128,27.3570082987,40.0,0,6145,0,0,0
27.8591290889,22.9880896275,22.9931061127,40.0,0,6271,0,0,0
13.1486199683,29.3062164561,29.3996439962,40.0,0,6295,0,0,0
25.7998464571,28.2852972973,28.2648104385,40.0,0,6428,0,0,0
21.25316931,23.5138068962,23.519080699,40.0,0,6449,0,0,0
136.0,3.20022857143,3.28228571429,40.0,0,6570,0,0,0
13.1050524047,44.6577247804,45.1126399577,40.0,0,6592,0,0,0
29.0779014938,20.5378629482,20.5593418801,40.0,0,6710,0,0,0
124.481788397,3.49288523759,3.50981110053,40.0,0,6736,0,0,0
35.0690070289,18.0549812988,18.0420362568,40.0,0,6861,0,0,0
48.1341852507,20.6786210488,20.6441641288,40.0,0,6891,0,0,0
26.4230268149,29.7714114723,29.7558026705,40.0,0,7034,0,0,0
143.23933308,3.05365071129,3.08856693788,40.0,0,7056,0,0,0
75.5799908768,12.1228198358,11.9707994856,40.0,0,7152,0,0,0
106.333740234,4.10216204255,4.07614709859,40.0,0,7176,0,0,0
117.950685611,3.69395729659,3.69442033785,40.0,0,7202,0,0,0
34.8079954735,27.591597119,27.6092445387,40.0,0,7382,0,0,0
181.907389835,2.41457483731,2.44570214359,40.0,0,7404,0,0,0
98.7300641883,11.1918503275,11.1123162045,40.0,0,7505,0,0,0
105.878559374,4.08353791053,4.10770318995,40.0,0,7527,0,0,0
16.3388842213,47.2003215017,47.9484781567,40.0,0,7639,0,0,0
114.944311023,3.77505963824,3.81115230159,40.0,0,7661,0,0,0
14.8264633869,26.3774970059,26.487504509,40.0,0,7691,0,0,0
33.776934355,15.9888113372,15.9773751939,40.0,0,7794,0,0,0
74.4730392073,11.9237406754,12.1060143351,40.0,0,7816,0,0,0
13.4833945857,27.3614917242,27.5081202589,40.0,0,7839,0,0,0
25.743501237,18.2479069174,18.3536540062,40.0,0,7904,0,0,0
68.1628718239,6.24910295967,6.27382456838,40.0,0,7925,0,0,0
