delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
61.4797481894,3.3511190246,16.8766772252,80.0,0,174,0,0,0
2080.1585325,6.63443735762,8.08707387427,98.75,0,427,0,0,0
2449.73483724,7.85040887698,8.37206079741,98.75,0,488,0,0,0
2900.73656929,7.47928188081,5.85735660802,81.25,0,515,0,0,0
2084.36481094,4.90797878205,2.95050147009,30.0,0,661,0,0,0
609.859375,4.41065033431,3.3466245385,26.25,0,785,0,0,0
389.220703125,3.68278071418,5.00388240646,24.5,0,846,0,0,0
471.544921875,3.81888999311,6.03288135786,31.0,0,941,0,0,0
796.375,3.38542881435,3.40322312481,20.0,0,1074,0,0,0
82.75,4.52262606153,7.6502514809,23.0,0,1132,0,0,0
625.859375,4.83001002162,6.48996629719,36.0,0,1222,0,0,0
1136.15820312,4.81931778921,4.05446819064,25.0,0,1355,0,0,0
678.21875,5.73642057692,9.09996148737,24.0,0,1423,0,0,0
1848.875,3.1212477722,2.38819826049,20.0,0,1608,0,0,0
1130.0,2.19239709027,3.33680014881,20.0,0,1701,0,0,0
811.0,3.57269017715,4.61044223165,20.0,0,1794,0,0,0
723.0,4.65837489237,6.25584035459,20.0,0,1841,0,0,0
1569.75,3.38150025329,6.01410378467,22.0,0,2079,0,0,0
2677.234375,2.15175695864,3.95291625954,21.0,0,2118,0,0,0
874.875,3.3347667541,7.435031905,21.0,0,2198,0,0,0
918.5,3.26850522738,4.14497681679,20.0,0,2276,0,0,0
1254.0,2.44109316113,3.21119581939,20.0,0,2382,0,0,0
1097.0,3.03553514711,4.25875365119,20.0,0,2420,0,0,0
1640.0,2.27266973276,2.77097137525,20.0,0,2566,0,0,0
1353.625,3.07333931088,5.07944125666,20.0,0,2620,0,0,0
8677.0,1.76883030857,2.55708277142,20.0,0,3462,0,0,0
1681.0,3.8264690787,4.57181805774,20.0,0,3587,0,0,0
1419.375,3.58268935999,8.08640979902,20.0,0,3613,0,0,0
276.125,4.45646336475,10.3240830736,20.0,0,3653,0,0,0
250.5,8.14749278968,11.23529524,20.0,0,3696,0,0,0
844.125,5.65622537667,8.09630115152,21.0,0,3797,0,0,0
1119.125,5.79877293468,8.33414568479,22.0,0,3839,0,0,0
749.03125,4.61863184174,6.89754307923,22.0,0,3892,0,0,0
692.875,5.121759758,6.00405314136,20.0,0,3934,0,0,0
453.875,5.2029912857,7.83157184191,20.0,0,3966,0,0,0
366.5,5.34926383034,8.45332573375,20.0,0,4009,0,0,0
771.0,4.10468360254,4.9608814296,20.0,0,4069,0,0,0
512.25,4.28378289629,8.53893636191,20.0,0,4167,0,0,0
415.125,4.43480090105,8.66014940862,20.0,0,4199,0,0,0
194.75,7.30147811229,15.3515529513,20.0,0,4242,0,0,0
879.25,4.46069262131,11.1834604795,20.0,0,4341,0,0,0
484.625,5.00405013756,9.07356816415,20.0,0,4427,0,0,0
893.0,3.16208525501,4.45887139057,20.0,0,4500,0,0,0
428.0,4.2658051343,8.82594925432,20.0,0,4557,0,0,0
1403.125,2.61534242227,4.0446035195,20.0,0,4666,0,0,0
404.25,6.48079689264,11.9781161928,20.0,0,4783,0,0,0
1165.0,4.14072193466,5.62739157884,21.0,0,4845,0,0,0
935.875,5.63317973665,9.12786497378,20.0,0,4958,0,0,0
1325.375,5.45553195588,8.49230086735,20.0,0,5128,0,0,0
3269.0,1.61331162441,1.8021138975,20.0,0,5222,0,0,0
2390.0,1.59730854431,1.8834102372,20.0,0,5398,0,0,0
1189.0,3.9643465893,11.4022711922,21.0,0,5554,0,0,0
1693.78125,4.16575484895,9.49324820584,20.0,0,5709,0,0,0
1794.125,4.09490545216,7.58953657831,20.0,0,5840,0,0,0
1769.75,3.66140040382,6.81287405544,20.0,0,5992,0,0,0
2220.0,1.57914644039,1.95535392487,20.0,0,6143,0,0,0
2055.375,2.07233751499,2.99387346035,20.0,0,6308,0,0,0
2126.140625,2.50282340478,5.78721717581,20.0,0,6455,0,0,0
2181.0,1.61727588571,1.98910439825,20.0,0,6589,0,0,0
2058.859375,2.43881101621,3.33751632183,20.0,0,6713,0,0,0
1663.375,3.35747586591,4.40130090737,20.0,0,6760,0,0,0
1938.875,2.26515163311,3.89489447895,20.0,0,6894,0,0,0
1803.875,2.59933148151,8.71923709389,20.0,0,7044,0,0,0
2163.53125,2.7190223799,7.88412205656,20.0,0,7157,0,0,0
2120.0,2.19049958874,2.42670814728,20.0,0,7242,0,0,0
2950.0,1.50439542372,1.88093778879,20.0,0,7432,0,0,0
1296.375,4.37605406676,5.98033061426,20.0,0,7545,0,0,0
1087.5,6.36861674458,10.184964915,20.0,0,7683,0,0,0
1254.0,5.82750579071,9.1364473924,20.0,0,7801,0,0,0
1443.875,5.96207039099,8.06880402677,20.0,0,7856,0,0,0
873.25,4.4791633728,8.00024897329,20.0,0,7940,0,0,0
590.25,4.99948703586,9.11504974058,20.0,0,8002,0,0,0
913.0,4.09260885068,5.95229365439,20.0,0,8088,0,0,0
501.125,5.21005868098,7.60472470632,20.0,0,8141,0,0,0
812.0,5.30660526591,8.03065228976,20.0,0,8241,0,0,0
1324.125,2.92184824096,4.32243277276,20.0,0,8377,0,0,0
1089.0,2.58889124891,3.80162071293,20.0,0,8460,0,0,0
400.0,6.02328135408,10.1532326507,20.0,0,8531,0,0,0
729.5,3.86360550618,8.41379261035,20.0,0,8639,0,0,0
494.1875,4.98290865695,15.8352455809,20.0,0,8755,0,0,0
1406.875,3.47055259834,4.95189695711,20.0,0,8793,0,0,0
1089.75,4.58258922258,7.28184624946,20.0,0,8987,0,0,0
918.375,4.26771644723,7.32659448394,20.0,0,9053,0,0,0
1177.0,2.84369363435,3.97533093522,20.0,0,9118,0,0,0
913.875,4.26057136694,7.34530307888,20.0,0,9193,0,0,0
907.0,3.74520249564,4.90030059781,20.0,0,9249,0,0,0
1813.75,2.57785827562,3.54917229419,20.0,0,9418,0,0,0
650.375,3.5286344225,8.52422091394,20.0,0,9488,0,0,0
612.0,3.71845228747,6.54734391604,20.0,0,9568,0,0,0
595.875,4.30574493679,11.7098220169,20.0,0,9636,0,0,0
567.0,4.04956088776,7.26108923931,20.0,0,9672,0,0,0
939.0,3.46811273821,4.81657580177,20.0,0,9779,0,0,0
491.375,5.46461845419,8.44032852698,20.0,0,9848,0,0,0
1409.75,2.78510223381,4.57253032429,20.0,0,9961,0,0,0
1371.0,2.81388437864,3.43500186636,20.0,0,10021,0,0,0
1110.0,3.16489402958,4.21649728127,20.0,0,10073,0,0,0
880.0,3.58785589152,5.2550711037,20.0,0,10110,0,0,0
379.375,7.01273834519,11.0160863032,20.0,0,10151,0,0,0
446.75,5.8158704175,10.7505648373,20.0,0,10223,0,0,0
936.5,3.82341739031,5.22156637693,20.0,0,10290,0,0,0
657.0,4.60253471223,9.28250223935,20.0,0,10386,0,0,0
431.5,4.181473418,9.13717182052,20.0,0,10429,0,0,0
353.875,4.65759275737,9.92615768152,20.0,0,10468,0,0,0
858.5,4.12275608603,7.47965654532,20.0,0,10573,0,0,0
912.875,4.63772536298,6.30449591362,20.0,0,10611,0,0,0
377.625,7.12856135811,11.826068414,20.0,0,10678,0,0,0
1371.0,2.58419636855,3.21842229783,20.0,0,10790,0,0,0
633.875,4.43340099989,7.75844769035,20.0,0,10873,0,0,0
559.578125,5.93500762321,10.8891031291,20.0,0,10911,0,0,0
1060.4375,3.84172453395,10.1935647954,20.0,0,11026,0,0,0
1473.875,3.3313390634,7.51490701003,20.0,0,11145,0,0,0
825.125,6.7786790216,9.73572079578,20.0,0,11291,0,0,0
1168.84375,6.59447777547,11.6203381228,20.0,0,11408,0,0,0
1310.25,3.56054318749,5.231065966,20.0,0,11445,0,0,0
1797.5,2.71171954685,6.38153810715,20.0,0,11578,0,0,0
1827.0,3.0913162247,5.84666183162,20.0,0,11760,0,0,0
2503.0,1.43744933821,1.75452146888,20.0,0,11919,0,0,0
2095.375,2.43130430447,2.85946987241,20.0,0,12080,0,0,0
2187.125,2.98464508242,4.75385515845,20.0,0,12255,0,0,0
3019.0,1.39904937443,1.65756138295,20.0,0,12444,0,0,0
2068.0,2.37432909228,2.91368896325,20.0,0,12531,0,0,0
755.0,5.01510070035,13.455671178,20.0,0,12639,0,0,0
297.25,7.27034240888,13.0740550827,20.0,0,12715,0,0,0
1025.4375,3.34285978866,7.99204880411,20.0,0,12810,0,0,0
559.0,4.30538398004,7.02368216515,20.0,0,12878,0,0,0
578.0,3.92642557771,6.82859238236,20.0,0,12934,0,0,0
695.75,5.3916343047,7.8277390569,20.0,0,13021,0,0,0
909.75,3.74183920266,5.71674768453,20.0,0,13112,0,0,0
2629.0,1.6103712625,1.8273162974,20.0,0,13325,0,0,0
1198.625,3.97733876428,5.61300039258,20.0,0,13377,0,0,0
458.203125,7.9033013984,11.914620906,20.0,0,13436,0,0,0
1073.75,4.12863330359,7.22280642927,20.0,0,13542,0,0,0
178.1875,11.31938629,18.1540059921,20.0,0,13591,0,0,0
848.171875,5.84930278603,11.5764258332,20.0,0,13711,0,0,0
604.25,8.08981962856,11.5521477463,20.0,0,13754,0,0,0
904.625,4.98000917208,7.58314878556,20.0,0,13838,0,0,0
513.0,5.01557391536,7.41778902766,20.0,0,13883,0,0,0
465.0,5.72640742397,8.50463060063,20.0,0,13921,0,0,0
413.875,6.06550544076,9.07497998236,20.0,0,13951,0,0,0
3841.0,1.10593850926,1.16404245431,20.0,0,14171,0,0,0
1064.0,3.42331472984,4.31528773015,20.0,0,14263,0,0,0
2190.25,4.21450367733,7.23562759047,20.0,0,14443,0,0,0
1739.0,2.81990769454,4.16404914553,20.0,0,14586,0,0,0
1372.375,3.29882325809,4.97656143029,20.0,0,14719,0,0,0
692.0,3.30161294501,5.76151051794,20.0,0,14782,0,0,0
1058.0,2.83174788787,4.7298671135,20.0,0,14891,0,0,0
1442.0,3.34998930819,4.28456594402,20.0,0,14932,0,0,0
919.75,5.49267700969,9.00411133382,20.0,0,15036,0,0,0
1442.0,3.19366126272,3.70702830741,20.0,0,15103,0,0,0
608.859375,6.91108496691,12.6373765112,20.0,0,15205,0,0,0
1537.0,2.96702912674,3.59198729542,20.0,0,15259,0,0,0
1731.375,2.79182414877,3.7378614399,20.0,0,15407,0,0,0
221.9375,5.98888702188,17.5188262281,20.0,0,15447,0,0,0
1263.0,3.51178118636,4.28398669335,20.0,0,15557,0,0,0
659.375,5.11329477361,7.87402488663,20.0,0,15590,0,0,0
1163.875,3.90190182609,5.44271391423,20.0,0,15705,0,0,0
446.0,4.06175034788,8.5136071314,20.0,0,15769,0,0,0
941.0,2.8516668384,4.47856435634,20.0,0,15851,0,0,0
494.0,3.66755392782,7.73447337214,20.0,0,15905,0,0,0
1133.375,4.59029012561,7.79222725099,20.0,0,16003,0,0,0
539.75,5.63640138666,9.39072811691,20.0,0,16050,0,0,0
632.625,5.2008463078,8.02964325067,20.0,0,16136,0,0,0
632.625,4.29262634193,7.31013500606,20.0,0,16169,0,0,0
939.0,3.44076019351,5.11195448661,20.0,0,16241,0,0,0
786.0,3.40809064259,5.42242283097,20.0,0,16299,0,0,0
814.0,3.24609976828,5.5977927127,20.0,0,16331,0,0,0
664.0,4.28420061023,6.73188478456,20.0,0,16380,0,0,0
420.875,6.38677405352,9.77231713813,20.0,0,16442,0,0,0
908.625,3.63567782108,5.40460856635,20.0,0,16532,0,0,0
486.875,5.01065962059,9.0472135212,20.0,0,16610,0,0,0
606.625,4.7302582535,8.34416968005,20.0,0,16677,0,0,0
400.5,8.00215642476,12.983664793,20.0,0,16724,0,0,0
2412.875,2.54829614414,4.30134816573,20.0,0,16928,0,0,0
1379.0,2.83969390871,5.20315198979,20.0,0,16982,0,0,0
