delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
24.1447802326,0.30702035707,0.59661604186,10.0,0,332,0.520019336864,0.00290584564209,4_15_0
169.09774971,0.325056918705,0.233210157924,5.0,0,358,0.521216679733,0.00259590148926,5_14_0
157.5,0.334048563662,0.14282455367,2.5,0,506,0.566044234203,0.00291991233826,13_7_0
0.0,0.285690118416,0.157951204573,1.25,0,588,0.502672190767,0.00367784500122,19_1_0
2.625,0.281991244528,0.233046904315,2.5,0,629,0.556004056544,0.00202989578247,20_0_0
16.625,0.449915584416,0.599474433389,2.5,0,702,0.501981480912,0.00477290153503,17_3_0
24.125,0.37290245098,0.347913235294,1.25,0,794,0.609447678567,0.00431299209595,15_5_0
50.5,0.239100292113,0.128638753651,1.0,0,879,0.676614929175,0.0060088634491,15_5_0
0.0,0.319111111111,0.382933333333,1.0,0,912,0.756162469583,0.00302481651306,18_2_0
31.0,0.1795,0.376655737705,2.0,0,975,0.666512896221,0.00195288658142,20_0_0
31.625,0.332221445221,0.187170940171,1.0,0,1029,0.582291053467,0.00141787528992,20_0_0
77.0,0.105394495413,0.107364485981,1.0,0,1142,0.469938217645,0.00609493255615,20_0_0
72.0,0.10637037037,0.11262745098,1.0,0,1246,0.540214558404,0.00195002555847,20_0_0
28.0,0.191466666667,0.198068965517,1.0,0,1311,0.372645593684,0.0069420337677,20_0_0
30.0,0.171462686567,0.191466666667,1.0,0,1392,0.357369011176,0.0189650058746,20_0_0
31.0,0.140097560976,0.188327868852,1.0,0,1470,0.418647644262,0.0170118808746,20_0_0
0.0,0.280195121951,0.49947826087,1.0,0,1500,0.666460337586,0.00504517555237,20_0_0
57.0,0.132045977011,0.2872,2.0,0,1585,0.521090084542,0.00423884391785,20_0_0
88.875,0.22319926356,0.124344191097,1.0,0,1894,0.184509829159,0.00133085250854,20_0_0
7.0,0.370580645161,0.382933333333,1.0,0,1940,0.622243556064,0.0131690502167,20_0_0
0.0,0.302315789474,0.5744,1.0,0,1968,0.835959253725,0.00537109375,19_0_0
1.0,0.425481481481,1.0940952381,2.0,0,1995,0.67643885334,0.00574588775635,20_0_0
8.15625,0.658164747394,1.68699877956,4.0,0,2022,0.73953914052,0.00389194488525,20_0_0
6.126953125,1.74261601209,1.78203185758,4.0,0,2048,0.975873863047,0.00227499008179,20_0_0
14.046875,1.66441272311,1.31259272311,4.0,0,2089,0.962070656949,0.00202703475952,20_0_0
33.560546875,0.77918215602,0.672024053599,2.0,0,2131,0.668939741567,0.00676512718201,20_0_0
12.0,0.797777777778,0.425481481481,1.0,0,2166,0.715536556267,0.00541591644287,20_0_0
