delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
1.5,0.0680039929015,0.691410762489,10.0,0,12,0.649397380739,0.000170946121216,3_9_0
35.0,0.154618181818,0.517656565657,5.0,0,36,0.699859694489,0.000155925750732,3_11_0
36.8872375488,0.310607800737,0.343472480369,2.5,0,50,0.723562194443,0.00145196914673,4_10_0
556.0,0.158155555556,0.0319554937413,1.25,0,721,0.816572361209,0.000962018966675,27_22_0
468.375,0.049307677762,0.0200359416518,1.0,0,1001,0.784270346441,0.00147700309753,41_9_0
99.0,0.043680608365,0.0438473282443,1.0,0,1264,0.631735490062,0.00162696838379,49_1_0
10.0,0.0656457142857,0.0664046242775,1.0,0,1439,0.351001239682,0.000558853149414,50_0_0
423.0,0.0195706984668,0.0196040955631,1.0,0,2026,0.518173955226,0.000707149505615,46_4_0
186.0,0.0328228571429,0.0329169054441,1.0,0,2375,0.396115343096,0.000495910644531,46_4_0
0.0,0.0926451612903,0.0926451612903,1.0,0,2502,0.519816593926,0.00312185287476,48_2_0
0.0,0.100771929825,0.103495495495,1.0,0,2617,0.61772511907,0.00408816337585,50_0_0
351.0,0.024652360515,0.273523809524,11.0,0,3080,0.963197014688,0.000118017196655,42_7_1
354.0,0.0518580914035,0.244087042389,5.5,0,3097,0.968228392374,0.000344038009644,42_7_1
371.366455078,0.119465223387,0.164831464145,2.75,0,3126,0.986131736222,0.000332117080688,43_6_1
397.625,0.202862989114,0.0650023668639,1.375,0,3142,0.994471512794,0.000132083892822,43_6_1
403.375,0.212089170019,0.0223620420952,1.0,0,3611,0.952134053699,0.000741958618164,46_4_0
29.0,0.081475177305,0.0820571428571,1.0,0,3751,0.455691278962,0.000118970870972,50_0_0
9.0,0.0957333333333,0.0957333333333,1.0,0,3871,0.536384663154,0.000137805938721,50_0_0
55.0,0.0692048192771,0.0692048192771,1.0,0,4037,0.432134751857,0.000180959701538,50_0_0
40.0,0.0760794701987,0.0760794701987,1.0,0,4189,0.38506608041,0.000326156616211,50_0_0
29.0,0.081475177305,0.0820571428571,1.0,0,4332,0.383793303778,0.00306987762451,50_0_0
9.0,0.0933983739837,0.0957333333333,1.0,0,4452,0.440964000004,0.000142812728882,50_0_0
9.0,0.0957333333333,0.0957333333333,1.0,0,4572,0.538195015101,0.000116109848022,49_1_0
31.0,0.0809014084507,0.0809014084507,1.0,0,4715,0.703028337634,0.000295877456665,46_4_0
100.0,0.0541886792453,0.0544454976303,1.0,0,4927,0.640713414812,0.000541925430298,46_4_0
0.0,0.107364485981,0.108377358491,1.0,0,5035,0.685038833652,0.00163602828979,50_0_0
142.0,0.045952,0.509548387097,11.0,0,5283,0.89028985058,0.000137805938721,40_9_1
147.032714844,0.160286846259,0.388901982783,5.5,0,5303,0.901723335206,0.000303030014038,40_9_1
186.452636719,0.34136476354,0.170796316785,2.75,0,5748,0.856227373782,0.000530004501343,36_14_0
302.984375,0.0566457273001,0.0594328762138,1.375,0,5920,0.643466775468,0.00033712387085,49_1_0
56.875,0.132843847207,0.074224485946,1.0,0,6014,0.564384788298,0.000121116638184,50_0_0
0.0,0.151157894737,0.151157894737,1.0,0,6107,0.741230349079,0.0121099948883,50_0_0
323.0,0.0274832535885,0.316711779449,11.0,0,6509,0.943265025686,0.000342130661011,42_7_1
328.041015625,0.0725030258222,0.265366459769,5.5,0,6535,0.90907529293,0.000824928283691,38_11_1
370.0,0.147282051282,0.154547085202,2.75,0,6560,0.944258613312,0.00136804580688,41_8_1
466.0,0.14232920354,0.105977859779,1.375,0,6657,0.968632644734,0.00112700462341,42_7_1
465.439453125,0.175246821065,0.0703567625143,1.0,0,6670,0.967680640534,0.000140905380249,42_7_1
202.0,0.0411756272401,0.0413237410072,1.0,0,6950,0.752540998074,0.000168085098267,46_4_0
43.0,0.0957333333333,0.0965378151261,1.0,0,7070,0.512935539175,0.000319004058838,49_1_0
0.0,0.159555555556,0.161802816901,1.0,0,7144,0.769678392673,0.0031750202179,50_0_0
126.0,0.0568712871287,0.641461928934,11.0,0,7343,1.05931842581,0.000250816345215,44_6_0
131.201507568,0.259804154949,0.446857846134,5.5,0,7358,1.09090811261,0.0001220703125,44_6_0
187.234375,0.477346631489,0.237458343939,2.75,0,7924,1.00087810299,0.000682830810547,48_2_0
444.625,0.101931579784,0.0566857120153,1.375,0,8045,0.665580020598,0.000243902206421,50_0_0
49.125,0.177383376474,0.0956708713934,1.0,0,8161,0.535701396192,0.000243902206421,50_0_0
19.0,0.126241758242,0.127644444444,1.0,0,8252,0.52954484528,0.000116109848022,50_0_0
0.0,0.161802816901,0.164114285714,1.0,0,8334,0.782655359989,0.0118269920349,50_0_0
195.0,0.0414729241877,0.476860377358,11.0,0,8599,1.09221088132,0.000357866287231,45_4_1
199.75,0.0857519292551,0.422447898338,5.5,0,8650,1.11896594244,0.000241041183472,46_3_1
245.999572754,0.231376122631,0.200911548703,2.75,0,8664,1.13841282877,0.000964879989624,47_2_1
275.0,0.0665971014493,0.0665971014493,1.375,0,9006,0.927619496904,0.000117063522339,46_4_0
251.125,0.0978037021877,0.0401991176604,1.0,0,9136,0.569747385162,0.000550031661987,49_1_0
31.0,0.11262745098,0.113742574257,1.0,0,9237,0.610710148299,0.000137090682983,50_0_0
18.0,0.130545454545,0.130545454545,1.0,0,9326,0.647217901105,0.000509023666382,50_0_0
9.0,0.1436,0.145417721519,1.0,0,9405,0.648644742402,0.000349998474121,50_0_0
16.0,0.133581395349,0.133581395349,1.0,0,9491,0.684043505393,0.000452995300293,50_0_0
16.0,0.133581395349,0.133581395349,1.0,0,9579,0.683784497666,0.00135397911072,50_0_0
3.0,0.153173333333,0.157369863014,1.0,0,9653,0.698338847448,0.000186920166016,50_0_0
122.0,0.0595233160622,0.0598333333333,1.0,0,9846,0.89896045993,0.000993013381958,47_3_0
121.0,0.0598333333333,0.0601465968586,1.0,0,10038,0.620119403593,0.00138306617737,46_4_0
56.0,0.0904566929134,0.0911746031746,1.0,0,10165,0.590201413953,0.000514030456543,49_1_0
11.0,0.138409638554,0.141827160494,1.0,0,10250,0.666589919433,0.00150990486145,50_0_0
21.0,0.120926315789,0.126241758242,1.0,0,10344,0.644569089712,0.00127005577087,50_0_0
21.0,0.12352688172,0.126241758242,1.0,0,10435,0.742613148451,0.000485897064209,50_0_0
61.0,0.0876946564885,0.0876946564885,1.0,0,10566,0.634060575976,0.000295162200928,46_4_0
42.0,0.102571428571,0.102571428571,1.0,0,10678,0.678350097008,0.000139951705933,49_1_0
68.0,0.0832463768116,0.0832463768116,1.0,0,10817,0.560131601831,0.000502824783325,50_0_0
15.0,0.133581395349,0.135152941176,1.0,0,10902,0.506884403339,0.000226974487305,50_0_0
8.0,0.147282051282,0.147282051282,1.0,0,10980,0.688337006442,0.000127077102661,50_0_0
83.0,0.0750849673203,0.0750849673203,1.0,0,11134,0.500836873834,0.000135898590088,50_0_0
20.0,0.126241758242,0.127644444444,1.0,0,11225,0.501442258075,0.000152111053467,50_0_0
0.0,0.164114285714,0.166492753623,1.0,0,11296,0.748059412056,0.00198888778687,50_0_0
193.0,0.0435151515152,0.482320610687,11.0,0,11560,1.03538400602,0.00128984451294,44_6_0
195.47775013,0.26089313784,0.305808359769,5.5,0,11804,0.818100923245,0.000952005386353,41_9_0
155.381347656,0.254655164256,0.214754539162,2.75,0,11926,0.614937675132,0.000231027603149,49_1_0
40.140625,0.284468950393,0.211853813883,1.375,0,11986,0.839093955418,0.000185966491699,50_0_0
2.75,0.352795061728,0.188101276418,1.0,0,12068,0.99039426642,0.000128984451294,48_2_0
457.0,0.0222205029014,0.0222635658915,1.0,0,12584,0.926620248382,0.000312805175781,43_7_0
56.0,0.0990344827586,0.0998956521739,1.0,0,12701,0.753487258246,0.000520944595337,49_1_0
37.0,0.118432989691,0.119666666667,1.0,0,12798,0.588090655246,0.000905990600586,50_0_0
10.0,0.161802816901,0.166492753623,1.0,0,12870,0.72060311649,0.00155305862427,50_0_0
23.0,0.136761904762,0.140097560976,1.0,0,12953,0.731471244909,0.00068211555481,50_0_0
66.0,0.0911746031746,0.091904,1.0,0,13081,0.608046756744,0.00243401527405,49_1_0
29.0,0.126241758242,0.130545454545,1.0,0,13170,0.640924678847,0.000313997268677,50_0_0
14.0,0.155243243243,0.157369863014,1.0,0,13244,0.841786215046,0.000813961029053,50_0_0
105.0,0.0696242424242,0.0700487804878,1.0,0,13410,0.919234976154,0.00115895271301,48_2_0
30.0,0.126241758242,0.129078651685,1.0,0,13499,0.721028705676,0.000313997268677,50_0_0
22.0,0.141827160494,0.141827160494,1.0,0,13580,0.751818820459,0.000462055206299,50_0_0
24.0,0.136761904762,0.138409638554,1.0,0,13665,0.752055150115,0.000488996505737,50_0_0
0.0,0.208872727273,0.212740740741,1.0,0,13723,0.83429812355,0.00370287895203,50_0_0
32.0,0.127644444444,1.46939534884,11.0,0,13809,0.811700895085,0.000128984451294,46_4_0
35.0234375,0.322751278363,1.21244551235,5.5,0,13829,0.847101821879,0.000172138214111,45_5_0
