delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
4.195728302,0.133001357743,0.462184408572,10.0,0,13,0.685677970166,0.00191187858582,0_11_5
50.125,0.328349176717,0.420065555688,10.0,0,544,0.703743765054,0.00291800498962,14_6_0
306.753173828,0.204170101048,0.150037861327,5.0,0,571,0.705579842076,0.000430822372437,14_6_0
278.25,0.2474322534,0.10342484428,1.0,0,641,0.624570404762,0.000417947769165,18_2_0
0.875,0.62121630094,0.1590553814,1.0,0,678,0.7550475668,0.00382685661316,20_0_0
0.0,0.441846153846,0.522181818182,1.0,0,706,0.764211953387,0.00545001029968,20_0_0
193.0,0.0517477477477,0.587758139535,11.0,0,922,0.80550947421,0.000164031982422,9_10_1
194.5,0.137383991039,0.495014787163,1.0,0,935,0.819643518909,0.000118017196655,11_8_1
224.0,0.26925,0.280195121951,1.0,0,956,0.752252479625,0.000122785568237,10_9_1
242.25,0.301022303622,0.21682021978,1.0,0,1078,0.807943760577,0.000156879425049,12_7_1
344.9375,0.281997779035,0.0830587722965,1.0,0,1098,0.813233828057,0.000139951705933,12_7_1
684.0,0.0162719546742,0.0162719546742,1.0,0,1804,0.379955918723,0.000462055206299,20_0_0
22.0,0.261090909091,0.261090909091,1.0,0,1859,0.656079710583,0.0105860233307,20_0_0
0.0,0.49947826087,1.1488,1.0,0,1886,0.881939720263,0.014319896698,20_0_0
36.0,0.188327868852,0.249739130435,1.0,0,1938,0.59936005484,0.00381803512573,17_2_1
305.0,0.0357881619938,0.0364698412698,1.0,0,2254,0.900871342715,0.000334024429321,13_7_0
140.0,0.0760794701987,0.0765866666667,1.0,0,2404,0.758453302426,0.000327825546265,18_2_0
50.0,0.191466666667,0.191466666667,1.0,0,2466,0.491625677613,0.00251984596252,18_2_0
13.0,0.441846153846,0.49947826087,1.0,0,2492,0.668253013638,0.00182819366455,20_0_0
37.0,0.234448979592,0.244425531915,1.0,0,2542,0.642733176807,0.00212597846985,20_0_0
18.0,0.370580645161,0.410285714286,1.0,0,2574,0.577100440928,0.00400400161743,20_0_0
17.0,0.370580645161,0.425481481481,1.0,0,2605,0.740379251916,0.00327801704407,20_0_0
14.0,0.410285714286,0.478666666667,1.0,0,2636,0.822326733782,0.00631403923035,20_0_0
15.0,0.359,0.45952,1.0,0,2664,0.795873771342,0.00307106971741,20_0_0
144.0,0.0731719745223,0.0745974025974,1.0,0,2818,0.822911479054,0.000150918960571,13_7_0
184.0,0.0592164948454,0.0592164948454,1.0,0,3012,0.726156931735,0.000128984451294,18_2_0
39.0,0.234448979592,0.234448979592,1.0,0,3065,0.48503323852,0.00370693206787,18_2_0
29.0,0.267162790698,0.294564102564,1.0,0,3108,0.552265552927,0.00148606300354,20_0_0
17.0,0.370580645161,0.425481481481,1.0,0,3158,0.805475666657,0.0227689743042,20_0_0
23.0,0.205142857143,0.348121212121,1.0,0,3203,0.626481547029,0.0117859840393,19_0_0
153.0,0.0652727272727,0.0704785276074,1.0,0,3368,0.534262723417,0.00124216079712,16_4_0
156.0,0.068380952381,0.0692048192771,1.0,0,3536,0.513261806898,0.00073504447937,18_2_0
29.0,0.2872,0.294564102564,1.0,0,3578,0.646484107875,0.00345897674561,19_1_0
35.0,0.239333333333,0.255288888889,1.0,0,3626,0.575169403776,0.00350713729858,20_0_0
26.0,0.294564102564,0.319111111111,1.0,0,3665,0.659526167776,0.00352001190186,20_0_0
31.0,0.261090909091,0.280195121951,1.0,0,3709,0.566459473729,0.00298380851746,20_0_0
26.0,0.294564102564,0.319111111111,1.0,0,3752,0.581964699429,0.00644898414612,20_0_0
18.0,0.319111111111,0.410285714286,1.0,0,3785,0.54468236992,0.00343203544617,20_0_0
59.0,0.157369863014,0.166492753623,1.0,0,3856,0.419897396496,0.00146007537842,20_0_0
53.0,0.176738461538,0.182349206349,1.0,0,3921,0.332325397554,0.00170922279358,20_0_0
42.0,0.208872727273,0.220923076923,1.0,0,3976,0.38162926762,0.00226902961731,20_0_0
39.0,0.225254901961,0.234448979592,1.0,0,4026,0.433439665581,0.00161004066467,20_0_0
46.0,0.201543859649,0.205142857143,1.0,0,4085,0.381024331292,0.0023238658905,20_0_0
46.0,0.194711864407,0.205142857143,1.0,0,4144,0.379031936821,0.00374794006348,20_0_0
49.0,0.182349206349,0.194711864407,1.0,0,4207,0.403848731676,0.003014087677,20_0_0
46.0,0.194711864407,0.205142857143,1.0,0,4267,0.359273097821,0.00388693809509,20_0_0
31.0,0.249739130435,0.280195121951,1.0,0,4314,0.504107308687,0.00499510765076,20_0_0
32.0,0.244425531915,0.273523809524,1.0,0,4361,0.43557320315,0.00478196144104,20_0_0
38.0,0.216754716981,0.239333333333,1.0,0,4426,0.47206058743,0.0158929824829,20_0_0
25.0,0.220923076923,0.328228571429,1.0,0,4465,0.635202487843,0.00363302230835,20_0_0
25.0,0.294564102564,0.328228571429,1.0,0,4506,0.562582540424,0.00573587417603,20_0_0
10.0,0.441846153846,0.5744,1.0,0,4530,0.865695947039,0.00328803062439,20_0_0
15.0,0.396137931034,0.45952,1.0,0,4563,0.834563225394,0.00805616378784,19_1_0
34.0,0.220923076923,0.261090909091,1.0,0,4617,0.634240212897,0.0084969997406,19_1_0
33.0,0.212740740741,0.267162790698,1.0,0,4663,0.691379271361,0.00156402587891,19_1_0
44.0,0.205142857143,0.212740740741,1.0,0,4721,0.692913974634,0.00340104103088,19_1_0
45.0,0.194711864407,0.208872727273,1.0,0,4778,0.636343945344,0.00243806838989,19_1_0
36.0,0.234448979592,0.249739130435,1.0,0,4828,0.5918676795,0.00304913520813,19_1_0
31.0,0.255288888889,0.280195121951,1.0,0,4871,0.693449407887,0.00142383575439,19_1_0
46.0,0.201543859649,0.205142857143,1.0,0,4930,0.649136208712,0.00360107421875,19_1_0
31.0,0.261090909091,0.280195121951,1.0,0,4973,0.770098096073,0.00260496139526,19_1_0
37.0,0.22976,0.244425531915,1.0,0,5025,0.712720555235,0.00307512283325,19_1_0
46.0,0.191466666667,0.205142857143,1.0,0,5084,0.59333182045,0.00214815139771,19_1_0
8.0,0.547047619048,0.638222222222,1.0,0,5109,0.841713992319,0.00625705718994,19_1_0
31.0,0.239333333333,0.280195121951,1.0,0,5157,0.776550525809,0.00718402862549,19_1_0
29.0,0.244425531915,0.294564102564,1.0,0,5199,0.723708412479,0.00147700309753,19_1_0
38.0,0.22976,0.239333333333,1.0,0,5251,0.673954025361,0.0030357837677,19_1_0
31.0,0.255288888889,0.280195121951,1.0,0,5300,0.685620373668,0.00765299797058,19_1_0
31.0,0.22976,0.280195121951,1.0,0,5365,0.632040802754,0.0196290016174,19_1_0
26.0,0.194711864407,0.319111111111,1.0,0,5403,0.709416083234,0.00172996520996,19_1_0
26.0,0.302315789474,0.319111111111,1.0,0,5440,0.712485366615,0.00161504745483,19_1_0
45.0,0.205142857143,0.208872727273,1.0,0,5499,0.674333297556,0.00394487380981,19_1_0
28.0,0.267162790698,0.302315789474,1.0,0,5541,0.752442700003,0.00263595581055,19_1_0
28.0,0.280195121951,0.302315789474,1.0,0,5582,0.838925362295,0.00254917144775,19_1_0
40.0,0.216754716981,0.22976,1.0,0,5638,0.662792329711,0.00579786300659,19_1_0
35.0,0.225254901961,0.255288888889,1.0,0,5690,0.71738376504,0.00576996803284,19_1_0
12.0,0.382933333333,0.522181818182,1.0,0,5716,0.837400577406,0.0023078918457,19_1_0
34.0,0.244425531915,0.261090909091,1.0,0,5770,0.706837809968,0.00832796096802,19_1_0
31.0,0.225254901961,0.280195121951,1.0,0,5813,0.789105755202,0.00213694572449,19_1_0
38.0,0.22976,0.239333333333,1.0,0,5864,0.610400263538,0.00310182571411,19_1_0
31.0,0.261090909091,0.280195121951,1.0,0,5909,0.645023067157,0.00354599952698,19_1_0
30.0,0.261090909091,0.2872,1.0,0,5952,0.779271619926,0.00309610366821,19_1_0
49.0,0.185290322581,0.194711864407,1.0,0,6014,0.670916431599,0.00253796577454,19_1_0
28.0,0.280195121951,0.302315789474,1.0,0,6054,0.820056011446,0.00180006027222,19_1_0
27.0,0.294564102564,0.310486486486,1.0,0,6102,0.713239444043,0.00555181503296,19_1_0
18.0,0.294564102564,0.410285714286,1.0,0,6132,0.888962631431,0.00167202949524,19_1_0
31.0,0.267162790698,0.280195121951,1.0,0,6177,0.844207651917,0.00304079055786,19_1_0
43.0,0.201543859649,0.216754716981,1.0,0,6231,0.737579053678,0.00190305709839,19_1_0
45.0,0.205142857143,0.208872727273,1.0,0,6290,0.613794907739,0.00393605232239,19_1_0
33.0,0.244425531915,0.267162790698,1.0,0,6335,0.668710312132,0.00235390663147,19_1_0
58.0,0.164114285714,0.168941176471,1.0,0,6407,0.564797396688,0.00435996055603,19_1_0
31.0,0.255288888889,0.280195121951,1.0,0,6451,0.619975680766,0.00342082977295,19_1_0
39.0,0.216754716981,0.234448979592,1.0,0,6517,0.65447227391,0.0159561634064,19_1_0
40.0,0.171462686567,0.22976,1.0,0,6584,0.66403840249,0.016077041626,19_1_0
7.0,0.337882352941,0.675764705882,1.0,0,6606,0.719197746342,0.00442600250244,19_1_0
39.0,0.216754716981,0.234448979592,1.0,0,6657,0.70524321304,0.00215101242065,19_1_0
35.0,0.244425531915,0.255288888889,1.0,0,6703,0.735727371654,0.00140595436096,19_1_0
33.0,0.261090909091,0.267162790698,1.0,0,6755,0.657065202216,0.00865888595581,19_1_0
27.0,0.249739130435,0.310486486486,1.0,0,6795,0.792162404498,0.00266599655151,19_1_0
41.0,0.212740740741,0.225254901961,1.0,0,6852,0.675558109281,0.00579714775085,19_1_0
40.0,0.201543859649,0.22976,1.0,0,6907,0.6608646255,0.0029890537262,19_1_0
26.0,0.2872,0.319111111111,1.0,0,6950,0.693109870136,0.00552487373352,19_1_0
42.0,0.194711864407,0.220923076923,1.0,0,7004,0.725252829633,0.00200891494751,19_1_0
17.0,0.396137931034,0.425481481481,1.0,0,7034,0.699969921953,0.00258493423462,19_1_0
27.0,0.2872,0.310486486486,1.0,0,7075,0.806645632738,0.00411105155945,19_1_0
37.0,0.220923076923,0.244425531915,1.0,0,7127,0.793504447707,0.00371599197388,18_1_0
33.0,0.244425531915,0.267162790698,1.0,0,7175,0.792252008818,0.00522685050964,19_1_0
30.0,0.255288888889,0.2872,1.0,0,7229,0.753836644278,0.00975799560547,19_1_0
32.0,0.205142857143,0.273523809524,1.0,0,7276,0.689911635944,0.00458312034607,19_1_0
15.0,0.382933333333,0.45952,1.0,0,7312,0.948056088516,0.0104248523712,19_1_0
30.0,0.225254901961,0.2872,1.0,0,7366,0.702273988093,0.0119118690491,19_1_0
34.0,0.198068965517,0.261090909091,1.0,0,7413,0.693872832925,0.00231289863586,19_1_0
45.0,0.198068965517,0.208872727273,1.0,0,7480,0.666886123178,0.0116031169891,19_1_0
29.0,0.220923076923,0.294564102564,1.0,0,7525,0.686560280703,0.00424408912659,19_1_0
24.0,0.294564102564,0.337882352941,1.0,0,7561,0.746547724099,0.00172996520996,19_1_0
43.0,0.208872727273,0.216754716981,1.0,0,7626,0.731661352057,0.012090921402,19_1_0
24.0,0.244425531915,0.337882352941,1.0,0,7665,0.770586838753,0.00358200073242,19_1_0
41.0,0.208872727273,0.225254901961,1.0,0,7719,0.598813097642,0.00254893302917,19_1_0
34.0,0.244425531915,0.261090909091,1.0,0,7770,0.680724893501,0.00653982162476,19_1_0
34.0,0.216754716981,0.261090909091,1.0,0,7818,0.820640248953,0.0017728805542,19_1_0
44.0,0.205142857143,0.212740740741,1.0,0,7875,0.593212251426,0.00274014472961,19_1_0
47.0,0.188327868852,0.201543859649,1.0,0,7936,0.61107723393,0.00297403335571,19_1_0
41.0,0.208872727273,0.225254901961,1.0,0,7994,0.623167392448,0.00691795349121,19_1_0
47.0,0.1795,0.201543859649,1.0,0,8058,0.6172512784,0.00584721565247,19_1_0
63.0,0.145417721519,0.157369863014,1.0,0,8134,0.47264762488,0.00324201583862,19_1_0
35.0,0.234448979592,0.255288888889,1.0,0,8183,0.548337080005,0.00297403335571,20_0_0
19.0,0.348121212121,0.396137931034,1.0,0,8230,0.820701747783,0.0160059928894,20_0_0
0.625,0.489186813187,1.21946031746,1.0,0,8281,0.733777916897,0.0270390510559,20_0_0
28.0,0.171462686567,0.310486486486,1.0,0,8322,0.755626646328,0.00216102600098,17_2_1
222.0,0.04930472103,0.0497316017316,1.0,0,8553,0.724483868636,0.0001380443573,16_4_0
117.0,0.0911746031746,0.0911746031746,1.0,0,8680,0.688733844385,0.000359058380127,19_1_0
42.0,0.220923076923,0.225254901961,1.0,0,8742,0.705758753083,0.011125087738,20_0_0
1.5,0.666873065015,1.75511111111,1.0,0,8771,0.801832970078,0.00367903709412,20_0_0
6.0,0.675764705882,0.957333333333,1.0,0,8803,0.746310939355,0.0176110267639,20_0_0
9.0,0.337882352941,8.42453333333,11.0,0,8826,0.783796105163,0.00758981704712,19_1_0
40.0689457804,1.39456077468,3.98306534168,21.0,0,9015,1.01867167058,0.00293898582458,15_4_1
188.5,0.592592454588,1.17883092687,10.5,0,9057,0.936189351929,0.000503063201904,15_5_0
225.365234375,0.496716278631,0.860790055182,1.0,0,9074,0.936155026604,0.000156879425049,16_4_0
243.858520985,0.555800563779,0.491325733862,1.0,0,9102,0.942063455118,0.000141143798828,16_4_0
249.661376953,0.680838629752,0.15443553084,1.0,0,9256,0.517257248508,0.000699996948242,18_2_0
46.0,0.216754716981,0.220923076923,1.0,0,9330,0.573670212686,0.0220618247986,20_0_0
24.0,0.208872727273,0.382933333333,1.0,0,9374,0.631324618453,0.0105149745941,20_0_0
14.0,0.370580645161,0.5744,1.0,0,9398,0.706637907813,0.00441598892212,20_0_0
