delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
17.9862489775,0.105162210287,0.203687707621,10.0,0,616,0.619846225178,0.0105319023132,12_31_0
107.070556641,0.176171041933,0.146267584812,5.0,0,656,0.644907455336,0.0059859752655,12_31_0
137.125,0.158447856964,0.0686544583143,2.5,0,745,0.677306330834,0.0130441188812,13_30_0
189.875,0.129741197396,0.034356308063,1.25,0,1114,0.59807011423,0.0325989723206,33_17_0
29.75,0.0660630299851,0.0390116842152,1.0,0,1301,0.551731462161,0.056990146637,46_4_0
0.0,0.0803356643357,0.141827160494,1.0,0,1460,0.681755357204,0.0709140300751,49_1_0
0.0,0.0713540372671,0.283654320988,2.0,0,1559,0.690692471523,0.0155801773071,49_1_0
14.875,0.127902153558,0.165171491228,4.0,0,1681,0.718412782991,0.023500919342,50_0_0
33.908203125,0.209409326322,0.256270433983,2.0,0,1804,0.606175594813,0.0219600200653,50_0_0
46.375,0.176661606578,0.0921910183428,1.0,0,2023,0.623366674753,0.0297930240631,50_0_0
752.0,0.0132655889145,0.0137911164466,1.0,0,2865,0.406106425696,0.00879502296448,50_0_0
51.0,0.081475177305,0.0870303030303,1.0,0,3110,0.708371298923,0.106757879257,50_0_0
29.0,0.0515156950673,0.104436363636,1.0,0,3229,0.531222204297,0.00936794281006,49_0_0
0.0,0.255288888889,0.337882352941,1.0,0,3355,0.629902146825,0.0890259742737,50_0_0
14.0,0.0832463768116,0.478666666667,2.0,0,3422,0.593723907336,0.0182991027832,50_0_0
32.5,0.148565241128,0.172817316017,1.0,0,3547,0.520878126747,0.0547661781311,50_0_0
12.0,0.113742574257,0.249739130435,1.0,0,3664,0.702751203381,0.0615420341492,50_0_0
52.0,0.0727088607595,0.133581395349,1.0,0,3757,0.657439259425,0.00599503517151,50_0_0
47.0,0.127644444444,0.141827160494,1.0,0,3862,0.521486136728,0.0204811096191,50_0_0
10.0,0.176738461538,0.261090909091,1.0,0,3952,0.84520655925,0.0396370887756,50_0_0
83.0,0.0700487804878,0.098188034188,1.0,0,4086,0.719990487785,0.0151841640472,50_0_0
3.0,0.216754716981,0.310486486486,1.0,0,4189,0.456657272113,0.0490460395813,50_0_0
12.0,0.102571428571,0.249739130435,1.0,0,4301,0.476663506363,0.0584931373596,50_0_0
24.0,0.091904,0.198068965517,1.0,0,4450,0.533059814581,0.0761361122131,50_0_0
126.0,0.0457689243028,0.0718,1.0,0,4732,0.39685465749,0.107308864594,50_0_0
65.0,0.0522181818182,0.11604040404,1.0,0,4899,0.421983547215,0.0679490566254,50_0_0
20.0,0.091904,0.212740740741,1.0,0,5043,0.438269037114,0.0846428871155,50_0_0
37.0,0.072251572327,0.161802816901,1.0,0,5190,0.439503096425,0.0742189884186,50_0_0
40.0,0.0771006711409,0.155243243243,1.0,0,5318,0.36872589682,0.0527200698853,50_0_0
