delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
48.2151082829,0.570238343944,1.16326265234,10.0,0,459,0.761973724544,0.000132083892822,3_5_11
384.5,0.241477201482,0.492614705044,20.0,0,486,0.751541459077,0.000139951705933,3_4_12
407.606689453,0.21030549367,0.42035038735,10.0,0,505,0.748424288296,0.000123023986816,3_5_11
485.015625,0.21324611926,0.293442970577,1.0,0,1462,0.853915530951,0.000197887420654,19_0_1
925.986156724,0.178827308742,0.0703415021246,1.0,0,1477,0.850473649899,0.000442028045654,19_0_1
473.0,0.0206618705036,0.0206990990991,1.0,0,2032,0.74358319771,0.000131845474243,20_0_0
0.0,0.370580645161,0.370580645161,1.0,0,2064,0.693721463947,0.000664949417114,20_0_0
1.0,0.348121212121,0.718,2.0,0,2101,0.837812622552,0.00480914115906,20_0_0
7.5,0.54113003663,0.381793650794,4.0,0,2160,0.907149631853,0.000977039337158,19_1_0
63.0,0.239333333333,0.97770212766,8.0,0,2200,0.886845503619,0.00145506858826,14_6_0
73.484375,0.35482979798,0.872970854613,16.0,0,2324,1.00288310629,0.000272989273071,7_12_1
148.0,0.315604395604,2.05372067039,32.0,0,2340,0.974307898402,0.000591993331909,7_9_4
153.453125,0.388387629501,2.25176119945,40.0,0,2361,0.929259374576,0.000841856002808,7_7_6
244.0,0.292421818182,1.67098181818,40.0,0,2476,1.08543054313,0.000268936157227,7_6_7
266.0,0.270760942761,1.50852525253,30.0,0,2498,1.06987391871,0.000133991241455,6_7_7
299.0,0.277655589124,1.32286060606,20.0,0,2532,1.07347713407,0.000159978866577,6_8_6
305.091796875,0.329637210537,1.24142114292,10.0,0,2544,1.05237783511,0.000793933868408,5_10_5
342.662841797,0.436547682996,1.01818090016,1.0,0,2913,0.900020171263,0.000134944915771,10_7_3
560.689208984,0.350509113346,0.522425691873,1.0,0,2926,0.89921677859,0.000277996063232,10_7_3
574.315395355,0.456200056138,0.396171214544,1.0,0,2940,0.922320211687,0.000159025192261,12_6_2
592.906494141,0.54933561546,0.275157650023,1.0,0,3017,0.882642204709,0.000150918960571,12_6_2
648.25,0.563126082948,0.180119575937,1.0,0,3046,0.884219961536,0.000159978866577,12_6_2
680.345703125,0.576160724341,0.118076811774,1.0,0,3057,0.822879102994,0.000133991241455,12_7_1
691.484375,0.62330549661,0.058138652615,1.0,0,3115,0.836570371555,0.000231027603149,13_6_1
700.0,0.535751334305,0.0158380044237,1.0,0,3692,0.793798030617,0.000130891799927,19_1_0
