delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
5.81981175579,10.8710888503,11.5678850753,10.0,0,108,0,0,0
17.0501636171,11.0605983024,12.9272177895,20.0,0,142,0,0,0
21.4717904286,11.799584202,14.2033393057,30.0,0,176,0,0,0
26.8011940252,11.329069703,15.2774848984,40.0,0,210,0,0,0
36.5817439085,11.5001850232,11.5309559308,40.0,0,246,0,0,0
37.2608704543,11.3178342932,5.91032404569,20.0,0,279,0,0,0
16.6721024487,11.5235611233,11.6785043076,20.0,0,313,0,0,0
20.9153046438,12.071946898,14.472190117,30.0,0,347,0,0,0
26.3093802836,11.6558150858,15.5739445303,40.0,0,382,0,0,0
37.1080947488,11.3143878963,11.3716621196,40.0,0,416,0,0,0
36.7562013236,11.4839717751,6.00006557626,20.0,0,451,0,0,0
17.5062530594,11.2320619809,11.1553363474,20.0,0,484,0,0,0
20.0288830122,11.9910908362,15.0497595491,30.0,0,518,0,0,0
26.2675319103,11.7705815551,15.6404190072,40.0,0,553,0,0,0
36.8594316798,11.4077923758,11.4851639261,40.0,0,588,0,0,0
36.7670390644,11.4902938369,5.9811993027,20.0,0,623,0,0,0
17.0020077453,11.4820581536,11.4449904884,20.0,0,657,0,0,0
21.5360701748,11.6089010327,14.2123581467,30.0,0,691,0,0,0
26.1128243926,11.7119063642,15.6378705118,40.0,0,724,0,0,0
37.0821237131,11.2731636434,11.4260971796,40.0,0,758,0,0,0
37.0161131245,11.4166623638,5.99025595867,20.0,0,792,0,0,0
17.869387142,11.1051779508,11.0452666286,20.0,0,826,0,0,0
21.5259175793,11.2469237112,14.2434506155,30.0,0,860,0,0,0
26.2511776254,11.8373919532,15.5709084684,40.0,0,894,0,0,0
36.9410254821,11.3701072075,11.4735798488,40.0,0,929,0,0,0
37.2546798773,11.3644833892,5.85203163853,20.0,0,964,0,0,0
17.1157050844,11.4324435947,11.3991748862,20.0,0,999,0,0,0
21.2501738073,11.68670258,14.4634143804,30.0,0,1033,0,0,0
26.3720852079,11.6946031751,15.5052039533,40.0,0,1067,0,0,0
36.7750923271,11.4403752907,11.4944555575,40.0,0,1101,0,0,0
37.0395490726,11.3822715333,5.92416512454,20.0,0,1135,0,0,0
17.2836065089,11.4808288393,11.3054973161,20.0,0,1169,0,0,0
21.4143427645,12.2766947017,14.2962977658,30.0,0,1203,0,0,0
26.3449583001,11.7069162139,15.4749546181,40.0,0,1237,0,0,0
36.7964263416,11.3609241916,11.4636932516,40.0,0,1273,0,0,0
36.9993013182,11.4085547485,6.00435487378,20.0,0,1307,0,0,0
16.7744086806,11.5804183425,11.6541170645,20.0,0,1341,0,0,0
21.4713273706,11.654107516,14.1500206856,30.0,0,1376,0,0,0
26.150301489,11.6986589239,15.7011771035,40.0,0,1411,0,0,0
36.9021985035,11.4004468143,11.4459407008,40.0,0,1444,0,0,0
36.5291875115,11.5294763156,5.98295373895,20.0,0,1479,0,0,0
17.381245826,11.3248549039,11.2658599752,20.0,0,1513,0,0,0
20.5320988964,11.8010385112,14.7504947425,30.0,0,1548,0,0,0
26.7603489331,11.8603943734,15.3128927917,40.0,0,1584,0,0,0
37.1153941982,11.3698330422,11.3420898675,40.0,0,1618,0,0,0
36.8558933525,11.4037463358,5.89606039118,20.0,0,1653,0,0,0
17.6889990809,11.0243713203,11.0386088208,20.0,0,1687,0,0,0
20.9834694431,11.6332171263,14.5058781664,30.0,0,1721,0,0,0
26.0018592228,11.7120261035,15.7192957914,40.0,0,1755,0,0,0
36.7821819002,11.4034057316,11.4903291169,40.0,0,1789,0,0,0
37.2972162431,11.3112170548,5.88241735906,20.0,0,1824,0,0,0
17.0906471733,11.5208093035,11.4890079077,20.0,0,1858,0,0,0
21.2824151854,11.6226847457,14.3805297261,30.0,0,1893,0,0,0
25.8724744518,11.8607049532,15.7457697132,40.0,0,1928,0,0,0
37.0051516711,11.328389543,11.4426560992,40.0,0,1963,0,0,0
36.9288890687,11.4166291492,5.90060302825,20.0,0,1998,0,0,0
16.9242668783,11.5386465196,11.5033545577,20.0,0,2032,0,0,0
21.8356846596,11.6858451039,13.9754878291,30.0,0,2066,0,0,0
26.1491975833,11.7921742374,15.5602678828,40.0,0,2103,0,0,0
36.9950202939,11.3384631183,11.3905690583,40.0,0,2136,0,0,0
37.7905762282,11.1866831578,5.84007768059,20.0,0,2170,0,0,0
17.0668648666,11.4421291343,11.4445978687,20.0,0,2204,0,0,0
21.1980714126,11.5845966464,14.4031495349,30.0,0,2238,0,0,0
26.7672904916,11.6132350947,15.3151369134,40.0,0,2272,0,0,0
36.532342718,11.4789665438,11.5682505243,40.0,0,2307,0,0,0
37.1133812649,11.3636453037,5.93503721675,20.0,0,2341,0,0,0
17.2358046107,11.4440930203,11.4029972627,20.0,0,2375,0,0,0
21.6287282654,11.6343119289,14.1563954148,30.0,0,2409,0,0,0
26.0901134396,11.9878317987,15.7297941698,40.0,0,2444,0,0,0
36.7387020169,11.43957192,11.4758323007,40.0,0,2478,0,0,0
37.1822584589,11.3374974835,5.92958974777,20.0,0,2512,0,0,0
17.1194288652,11.5085945683,11.383352585,20.0,0,2547,0,0,0
22.114795625,11.6211418388,13.9285071855,30.0,0,2582,0,0,0
26.3276504635,11.6692440583,15.5837169756,40.0,0,2615,0,0,0
36.8219468608,11.4248174511,11.4263758117,40.0,0,2648,0,0,0
37.0959108435,11.3711945228,5.91593381901,20.0,0,2683,0,0,0
17.0978609207,11.4623509386,11.4067217851,20.0,0,2717,0,0,0
21.5380213905,11.5987629133,14.1415164786,30.0,0,2750,0,0,0
26.1368221029,11.6572585818,15.6628631836,40.0,0,2784,0,0,0
36.8511983932,11.3943851556,11.3952960049,40.0,0,2819,0,0,0
36.2546953379,11.5507358076,6.02398277411,20.0,0,2853,0,0,0
16.7741442639,11.6079834377,11.6472852761,20.0,0,2888,0,0,0
