delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
4.93781136899,7.48933983517,8.29839625633,10.0,0,98,0,0,0
86.5746041536,1.09286205542,2.91151376203,20.0,0,133,0,0,0
28.873631729,5.91908821432,4.20896310479,10.0,0,173,0,0,0
17.3788808044,7.28038319957,7.21429227111,10.0,0,257,0,0,0
67.1827130318,1.62659776146,1.67147276146,10.0,0,292,0,0,0
39.2564353943,2.45338215803,1.86851376788,5.0,0,351,0,0,0
33.734375,1.37306266469,1.35579850132,5.0,0,423,0,0,0
39.9918327332,2.14345461827,2.11946389711,5.0,0,483,0,0,0
45.234375,0.982010036727,0.981475810537,5.0,0,542,0,0,0
55.029296875,0.814534814324,0.82085358877,5.0,0,598,0,0,0
50.919921875,0.813953894124,0.72328366434,2.5,0,642,0,0,0
46.25390625,0.568270272428,0.583054375174,2.5,0,754,0,0,0
82.482421875,0.388487169967,0.503380499175,2.5,0,821,0,0,0
44.1640625,1.09358994422,0.908268092895,1.25,0,908,0,0,0
63.083984375,0.927924736525,0.820386210855,1.25,0,997,0,0,0
75.875,0.268053333333,0.149828433735,1.0,0,1051,0,0,0
36.0,0.267162790698,0.294564102564,1.0,0,1093,0,0,0
17.5,0.503231671554,0.575375212224,1.0,0,1147,0,0,0
35.0,0.273523809524,0.302315789474,1.0,0,1189,0,0,0
19.125,0.449050167224,0.519343873518,1.0,0,1237,0,0,0
81.0,0.132045977011,0.136761904762,1.0,0,1324,0,0,0
15.0,0.554245614035,0.638222222222,1.0,0,1364,0,0,0
29.0,0.328228571429,0.359,1.0,0,1399,0,0,0
65.0,0.161802816901,0.168941176471,1.0,0,1470,0,0,0
93.0,0.11604040404,0.119666666667,1.0,0,1569,0,0,0
83.0,0.129078651685,0.133581395349,1.0,0,1658,0,0,0
32.0,0.302315789474,0.328228571429,1.0,0,1697,0,0,0
40.0,0.244425531915,0.267162790698,1.0,0,1742,0,0,0
69.0,0.155243243243,0.159555555556,1.0,0,1817,0,0,0
9.75,0.818105769231,1.050075,1.0,0,1863,0,0,0
84.0,0.126241758242,0.132045977011,1.0,0,1953,0,0,0
10.75,0.761515151515,0.957333333333,1.0,0,2001,0,0,0
14.375,0.854967871486,1.27380120482,1.0,0,2096,0,0,0
13.125,0.697748717949,0.941433566434,1.0,0,2162,0,0,0
5.578125,1.70724444444,3.17316111111,1.0,0,2220,0,0,0
28.0,0.328228571429,4.07638709677,11.0,0,2254,0,0,0
35.2389953276,1.78621708665,3.17273183482,11.0,0,2323,0,0,0
66.637386322,1.67079912217,1.67232149602,11.0,0,2406,0,0,0
79.8926959038,1.31063838441,0.950636407878,5.5,0,2490,0,0,0
87.375,0.656105548956,0.620741642627,2.75,0,2553,0,0,0
80.4102783203,1.71088632622,1.7200149677,1.375,0,2619,0,0,0
146.734375,0.506925152531,0.344047457736,1.0,0,3489,0,0,0
4.375,2.05672258065,2.55932258065,1.0,0,3527,0,0,0
7.75,1.51004375,15.8863564189,11.0,0,3567,0,0,0
6.94726595939,27.0747589348,28.3419292197,21.0,0,3603,0,0,0
28.1445761131,8.45124788755,11.6669599324,31.0,0,3650,0,0,0
12.3773979981,25.3679832084,25.4195245709,31.0,0,3684,0,0,0
16.2197554216,19.514457861,24.4591161355,40.0,0,3721,0,0,0
42.6277160645,8.47574494814,11.0671292543,40.0,0,3792,0,0,0
36.9287663736,10.9623456628,10.3429442242,20.0,0,3841,0,0,0
22.933061464,9.83164289634,9.95243650147,20.0,0,3885,0,0,0
33.3957458653,6.49356017697,6.52727782865,20.0,0,3920,0,0,0
35.5599553537,5.9218829061,5.94316807212,20.0,0,3964,0,0,0
38.1075702098,5.50073617,5.50357043352,20.0,0,4009,0,0,0
52.6507351433,4.18052434274,4.22981014502,20.0,0,4044,0,0,0
32.0808410645,6.26342093492,6.26596789438,20.0,0,4079,0,0,0
26.1952155931,10.0618646825,10.2664927979,20.0,0,4136,0,0,0
27.0512607142,8.55107873177,8.55827307826,20.0,0,4176,0,0,0
20.518439838,10.3407546641,10.4360392916,20.0,0,4212,0,0,0
7.77955353199,30.7330660394,30.6198911066,20.0,0,4268,0,0,0
36.580078125,5.93401597116,6.1391588283,30.0,0,4315,0,0,0
70.0991771415,3.46476874515,4.62676869535,30.0,0,4350,0,0,0
40.9135121558,8.46873256101,8.47252261709,30.0,0,4414,0,0,0
54.6900766099,5.8423181886,5.84797901244,30.0,0,4472,0,0,0
47.9926189139,8.13589768112,8.25175248551,30.0,0,4527,0,0,0
53.0799043509,6.47378211201,6.47796413416,30.0,0,4632,0,0,0
122.233177374,2.68394673491,2.68538964411,30.0,0,4664,0,0,0
21.0344230302,20.0616761997,19.4050701915,20.0,0,4781,0,0,0
97.8398476414,2.60318628131,3.76027788935,30.0,0,4817,0,0,0
15.3738914372,22.4968705865,21.9227841385,15.0,0,4912,0,0,0
33.7744860965,5.05613049369,8.38017036881,25.0,0,4945,0,0,0
28.6203279024,30.558397332,30.9012554162,25.0,0,5121,0,0,0
179.544921875,1.52583461807,1.31896138673,12.5,0,5184,0,0,0
147.001332242,1.85472392593,1.40218069772,2.5,0,5268,0,0,0
76.359375,0.291897258005,0.259679309287,1.0,0,5367,0,0,0
21.25,0.478666666667,0.506282051282,1.0,0,5408,0,0,0
113.0,0.0965378151261,0.0990344827586,1.0,0,5524,0,0,0
5.287109375,1.59175364583,1.59175364583,1.0,0,5561,0,0,0
119.0,0.091904,1.03580327869,11.0,0,5684,0,0,0
96.0042060539,0.650869826145,0.68243640654,1.0,0,5725,0,0,0
106.0,0.101663716814,0.105394495413,1.0,0,5834,0,0,0
20.15625,1.07063064516,1.16835842294,1.0,0,5979,0,0,0
23.5,0.63946875,0.848885416667,1.0,0,6123,0,0,0
11.625,0.634023391813,0.793578947368,1.0,0,6159,0,0,0
110.0,0.0990344827586,0.101663716814,1.0,0,6273,0,0,0
22.595703125,0.937426667034,0.986760401008,1.0,0,6431,0,0,0
26.5,0.569406276506,0.681095165394,1.0,0,6580,0,0,0
16.9375,1.18594575593,1.84560825593,1.0,0,6720,0,0,0
28.125,0.468583887657,0.570119241192,1.0,0,6865,0,0,0
3.755859375,1.25581440972,1.93990885417,1.0,0,6905,0,0,0
133.0,0.0820571428571,0.929176470588,11.0,0,7042,0,0,0
116.027108192,0.475907793791,0.47630134287,1.0,0,7154,0,0,0
21.75,0.449946666667,0.4667,1.0,0,7211,0,0,0
171.0,0.0649039548023,0.0660229885057,1.0,0,7385,0,0,0
23.90625,0.660354450113,0.660354450113,1.0,0,7513,0,0,0
4.244140625,1.24001183712,1.63980729167,1.0,0,7547,0,0,0
99.0,0.10940952381,1.23890196078,11.0,0,7653,0,0,0
16.9162123489,7.46250615159,7.50441955703,5.5,0,7694,0,0,0
22.25,4.02749237699,3.94377546778,5.5,0,7797,0,0,0
25.0349149676,6.120013709,6.17532528322,5.5,0,7836,0,0,0
14.8661804199,5.8388184775,5.74840021871,5.5,0,7907,0,0,0
27.7984819131,3.79376156988,3.81010757778,5.5,0,7940,0,0,0
16.4892649129,3.80469377501,3.91970904209,5.5,0,7980,0,0,0
29.7871398926,2.47700551715,2.39073304925,5.5,0,8048,0,0,0
40.7811770466,1.66930960728,1.63288200043,5.5,0,8112,0,0,0
28.5863542035,2.32296644431,2.30213530778,5.5,0,8206,0,0,0
23.4337406802,3.72190894314,3.80983225546,5.5,0,8244,0,0,0
28.6337890625,2.92707693479,2.9270695403,5.5,0,8340,0,0,0
38.2707900209,4.60664936649,4.45357055942,5.5,0,8384,0,0,0
36.0,1.55068055556,1.53971111111,5.5,0,8446,0,0,0
57.25,0.992844173442,1.00792411924,5.5,0,8491,0,0,0
28.256072998,2.01088318215,1.91020119368,2.75,0,8530,0,0,0
32.0,0.718801339286,0.705178571429,2.75,0,8590,0,0,0
54.375,0.429649358974,0.445528205128,2.75,0,8633,0,0,0
31.3125,0.76396284838,0.760170659101,1.375,0,8673,0,0,0
34.25,0.707319810683,0.387156862745,1.375,0,8778,0,0,0
56.078338623,0.878284969076,0.982148974609,1.375,0,8812,0,0,0
