delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
4.12180815124,13.9517770672,15.2518553325,10.0,0,111,0,0,0
16.360964246,11.3221561321,13.1073992667,20.0,0,146,0,0,0
20.2008770167,11.8999685751,15.1360305667,30.0,0,181,0,0,0
26.1529711655,11.7701757919,15.618863055,40.0,0,218,0,0,0
36.7928953208,11.3543457712,11.4419838227,40.0,0,253,0,0,0
36.5113873347,11.481520859,11.563656932,40.0,0,290,0,0,0
37.1990132806,11.3609311283,11.3256816497,40.0,0,325,0,0,0
36.7887821899,11.4574456691,11.4280810427,40.0,0,360,0,0,0
37.0650623649,11.3563368878,11.4072489507,40.0,0,396,0,0,0
36.8102830861,11.4665548084,11.4846056087,40.0,0,429,0,0,0
36.6268055621,11.5056069011,11.4951647177,40.0,0,464,0,0,0
37.1783985687,11.2934191221,11.3474172296,40.0,0,502,0,0,0
37.0115103998,11.3576223425,11.4191076715,40.0,0,540,0,0,0
36.9155512494,11.4349918207,11.3954131158,40.0,0,578,0,0,0
36.886360603,11.3647923465,11.470966946,40.0,0,615,0,0,0
36.8030313867,11.4489127996,11.423344481,40.0,0,650,0,0,0
35.9062671752,11.5969703704,11.7466332238,40.0,0,685,0,0,0
37.0614920182,11.3913088961,11.3438359071,40.0,0,720,0,0,0
37.1883090296,11.3475901186,11.3583525606,40.0,0,755,0,0,0
36.6966581627,11.5111154254,11.4774159225,40.0,0,793,0,0,0
36.6788286018,11.4719071452,11.4618229304,40.0,0,828,0,0,0
37.6011823032,11.1792473359,11.2175561672,40.0,0,862,0,0,0
36.6402698711,11.5343372772,11.4683398854,40.0,0,901,0,0,0
36.7996871727,11.4021580782,11.4675496247,40.0,0,936,0,0,0
36.8665853924,11.3965512874,11.4797308444,40.0,0,972,0,0,0
36.9534160229,11.4289088293,11.4348729636,40.0,0,1007,0,0,0
36.8265069827,11.3681318152,11.4160667071,40.0,0,1042,0,0,0
36.93197196,11.4174924533,11.3758354015,40.0,0,1075,0,0,0
36.5170641003,11.493005247,11.5666278756,40.0,0,1110,0,0,0
37.1356506195,11.4045247671,11.3582406464,40.0,0,1146,0,0,0
36.9947606452,11.4087568415,11.449113556,40.0,0,1181,0,0,0
36.9154061211,11.4341338704,11.4576789236,40.0,0,1219,0,0,0
36.8839739604,11.4450996499,11.4495488818,40.0,0,1253,0,0,0
36.5953404831,11.5166632914,11.5116558816,40.0,0,1287,0,0,0
36.8657721936,11.4332573091,11.4718598024,40.0,0,1323,0,0,0
36.9269313088,11.4521542861,11.36280506,40.0,0,1357,0,0,0
