delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
111.025456768,4.80501579429,9.75557584227,45.0,0,173,0,0,0
180.224085774,14.048749456,16.2936128179,45.0,0,255,0,0,0
244.848594026,11.7614069729,11.5651557169,27.5,0,292,0,0,0
280.875,5.49899729546,3.75967363559,11.25,0,353,0,0,0
206.125,2.88808122932,2.24024288621,6.0,0,423,0,0,0
199.421875,1.58209144488,1.3733286573,5.0,0,486,0,0,0
208.0,1.01764855705,1.1318527562,5.0,0,545,0,0,0
215.0,0.992258066632,1.14429490196,5.0,0,597,0,0,0
129.875,1.77686753946,2.17709809237,5.0,0,646,0,0,0
476.0,0.519393278612,0.550224090473,5.0,0,758,0,0,0
59.25,1.99734545455,3.00297380992,5.0,0,828,0,0,0
339.0,0.671496874306,0.746225806066,5.0,0,913,0,0,0
347.0,0.661978487482,0.730912299515,5.0,0,1000,0,0,0
187.0,1.06624252099,1.23297625655,5.0,0,1053,0,0,0
136.0,1.33699165875,1.57925306961,5.0,0,1099,0,0,0
92.25,1.92113986583,2.72381471718,5.0,0,1147,0,0,0
86.5,2.14952279508,3.1996553678,5.0,0,1189,0,0,0
62.25,2.13439625111,2.66759667173,5.0,0,1245,0,0,0
358.0,0.651211247308,0.713554057757,5.0,0,1339,0,0,0
101.03125,1.87320927238,2.18652231183,5.0,0,1405,0,0,0
249.0,0.852419909289,0.994552180142,5.0,0,1475,0,0,0
412.0,0.577904893836,0.635478864033,5.0,0,1574,0,0,0
382.0,0.621720536354,0.680741329851,5.0,0,1663,0,0,0
181.0,1.09242815359,1.30017464841,5.0,0,1721,0,0,0
273.0,0.776440817111,0.917720174091,5.0,0,1789,0,0,0
73.625,2.34102002233,2.88949863743,5.0,0,1832,0,0,0
125.625,1.57628962727,2.19045157275,5.0,0,1957,0,0,0
35.5,2.86277178683,4.8873748091,5.0,0,2007,0,0,0
320.625,1.36210221858,2.23677743052,5.0,0,2099,0,0,0
46.25,3.22890248472,5.17075163725,5.0,0,2168,0,0,0
136.0,2.0259031205,2.89656924316,5.0,0,2219,0,0,0
158.125,2.1778575692,3.14071833188,5.0,0,2327,0,0,0
343.0,0.682315518396,0.764012519751,5.0,0,2409,0,0,0
342.0,0.69550590334,0.766309393467,5.0,0,2491,0,0,0
434.0,0.631662327377,0.695543581473,5.0,0,2563,0,0,0
126.0,3.04515868946,4.99526074104,5.0,0,2628,0,0,0
1963.875,2.48888990182,6.1381053786,5.0,0,3495,0,0,0
204.5,2.44379044343,4.92199738018,4.0,0,3533,0,0,0
165.0,1.29681146389,1.49775510571,5.0,0,3577,0,0,0
113.96875,2.57325985364,3.51379872598,5.0,0,3615,0,0,0
55.625,3.14358018465,3.81636449262,5.0,0,3650,0,0,0
73.873046875,3.00739795857,3.36116395512,5.0,0,3694,0,0,0
253.6796875,2.02041621311,2.40908624609,5.0,0,3793,0,0,0
104.21875,2.6974630514,4.09885004284,5.0,0,3854,0,0,0
95.0,2.14990845484,2.57769649582,5.0,0,3915,0,0,0
80.75,2.90605079205,3.71546596036,5.0,0,3967,0,0,0
146.875,1.54232706963,1.84761246403,5.0,0,4011,0,0,0
119.375,1.56854069886,2.0914465044,5.0,0,4086,0,0,0
198.0,1.11327903469,1.31347684106,5.0,0,4141,0,0,0
60.375,2.58103632111,4.40090821653,5.0,0,4194,0,0,0
60.375,2.98834352816,3.55934741533,5.0,0,4235,0,0,0
248.0625,1.52540117446,1.75395473052,5.0,0,4317,0,0,0
113.875,2.22009282051,2.73126283892,5.0,0,4356,0,0,0
31.40625,3.80168610033,9.06113154603,5.0,0,4405,0,0,0
295.0,0.78690838784,0.909444320859,5.0,0,4476,0,0,0
109.625,1.85544061467,2.38498387023,5.0,0,4532,0,0,0
386.0,0.833057722772,0.925662062758,5.0,0,4634,0,0,0
159.25,1.3632681623,1.65533121265,5.0,0,4681,0,0,0
373.125,1.47885917,2.51195475924,5.0,0,4786,0,0,0
105.5,1.75283174603,2.28969820106,5.0,0,4841,0,0,0
