delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
36.8743682587,8.49543835696,25.1671138993,30.0,0,57,0,0,0
186.816616058,6.11573671225,16.5481252608,90.0,0,113,0,0,0
615.338734514,6.66780943794,20.9897241451,230.0,0,259,0,0,0
1263.84327394,6.35353536108,17.7308873975,290.0,0,314,0,0,0
2519.69916229,8.15797360011,19.6566726864,410.0,0,501,0,0,0
2869.64998875,8.56142392937,20.9698458626,450.0,0,537,0,0,0
3470.80482598,8.98541560829,20.1503078357,411.0,0,612,0,0,0
8833.73651191,8.7658086151,16.478926085,410.0,0,954,0,0,0
10109.8459112,8.73015420842,15.5370358195,402.0,0,997,0,0,0
17796.4793628,10.2330085669,11.9241383609,333.0,0,1379,0,0,0
24566.114049,11.7788626216,10.6347150705,432.0,0,2005,0,0,0
20016.7394847,11.9593545288,7.48575942059,316.0,0,2397,0,0,0
5316.30642519,11.0277321994,12.1726303203,322.0,0,2679,0,0,0
7388.45504721,11.5356833828,13.4985377253,394.0,0,3073,0,0,0
9659.8766482,11.6710994226,12.3513858446,473.0,0,3546,0,0,0
14044.9284562,10.4067389658,10.9056717408,489.0,0,4104,0,0,0
15851.9817228,11.4552827787,9.5886697323,387.0,0,4593,0,0,0
8882.55192328,11.4216757569,7.03136117828,175.0,0,4808,0,0,0
2488.91678225,9.67922906221,10.4125496439,164.0,0,4969,0,0,0
3061.20480678,11.6295426858,18.2508537123,336.0,0,5288,0,0,0
7654.15735551,12.3751138768,16.6226946774,489.0,0,5806,0,0,0
17123.3144123,10.3167838868,13.1219527227,529.0,0,6400,0,0,0
20308.827653,10.2643658378,8.32999298444,263.0,0,6731,0,0,0
10375.7659481,8.17223962281,5.25254983722,85.0,0,6833,0,0,0
1050.8066473,9.95416671882,14.2142204909,81.0,0,6912,0,0,0
1411.93945312,11.8243684939,18.8010020161,162.0,0,7072,0,0,0
3661.81401443,11.9300649039,21.8789587326,324.0,0,7393,0,0,0
11179.8605507,11.5372926796,24.8528890454,660.0,0,8033,0,0,0
