delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
4.70537270311,7.27079727729,10.4202411623,10.0,0,26,0,0,0
16.3934871907,5.23860637248,9.82670251292,20.0,0,49,0,0,0
13.6266011858,10.9214789016,21.8965258832,40.0,0,73,0,0,0
21.185546875,9.77094366207,16.7541843114,40.0,0,96,0,0,0
41.7442873501,9.16012830309,9.30403148418,40.0,0,117,0,0,0
47.2145996094,8.35674841575,8.5126556757,40.0,0,139,0,0,0
44.9077907811,8.81755563684,8.85974362318,40.0,0,167,0,0,0
60.357788912,6.70881952677,6.71196659612,40.0,0,189,0,0,0
59.8241290221,6.84292813899,6.84761485712,40.0,0,211,0,0,0
69.1792984009,5.9695437406,5.96815927212,40.0,0,234,0,0,0
66.4761032561,6.18198162257,6.21985887602,40.0,0,255,0,0,0
59.835595519,6.77275164636,6.81233974822,40.0,0,278,0,0,0
53.7760974255,7.47737556565,7.51799271225,40.0,0,314,0,0,0
73.7640405893,5.67057832454,5.58930408231,40.0,0,335,0,0,0
70.7137761145,5.85582134289,5.84771272116,40.0,0,358,0,0,0
68.7274093628,6.03710798501,5.97769886794,40.0,0,382,0,0,0
56.3836819655,7.21736955708,7.27773665907,40.0,0,403,0,0,0
60.8177361488,6.72818505255,6.78053006429,40.0,0,435,0,0,0
63.3246911458,6.54296508764,6.52582621495,40.0,0,460,0,0,0
65.1721225701,6.30615965455,6.29153422181,40.0,0,483,0,0,0
51.9601802182,7.67767820993,7.73856541536,40.0,0,507,0,0,0
46.0726181331,8.64643833204,8.64381688661,40.0,0,533,0,0,0
55.4401798816,7.30467617266,7.26065694345,40.0,0,557,0,0,0
54.69689405,7.34206078955,7.38287115725,40.0,0,579,0,0,0
53.8778405115,7.52129336913,7.48836940161,40.0,0,604,0,0,0
57.486205353,7.02946260814,7.04599146112,40.0,0,628,0,0,0
56.178990771,7.16858728323,7.18156415173,40.0,0,649,0,0,0
47.3797752656,8.35995480337,8.3768005398,40.0,0,670,0,0,0
52.896484375,7.6961025126,7.5982249896,40.0,0,691,0,0,0
60.0553068578,6.77518887048,6.77077238978,40.0,0,713,0,0,0
60.4970496326,6.71888961988,6.72247334179,40.0,0,738,0,0,0
55.3209239926,7.33345771422,7.3533305922,40.0,0,769,0,0,0
61.6512279668,6.63593281279,6.61504041117,40.0,0,795,0,0,0
61.8646736643,6.595781428,6.59779532862,40.0,0,817,0,0,0
57.9038062373,7.03776376382,7.01445321716,40.0,0,843,0,0,0
53.8378655489,7.44081229579,7.50917593079,40.0,0,864,0,0,0
51.253727181,7.89254104411,7.90185767323,40.0,0,887,0,0,0
49.282789873,8.09309579996,8.08354531989,40.0,0,909,0,0,0
46.5177517969,8.47351729175,8.53367235682,40.0,0,930,0,0,0
50.1311550174,7.97876056022,8.0181550796,40.0,0,953,0,0,0
54.6607716204,7.38783021316,7.38452674482,40.0,0,974,0,0,0
49.5696912821,8.05310864005,8.04492724762,40.0,0,999,0,0,0
43.5320015978,9.07606783336,9.0467999923,40.0,0,1020,0,0,0
42.8387344862,9.15883539931,9.21120341126,40.0,0,1053,0,0,0
51.9555846874,7.68136379997,7.75204257918,40.0,0,1075,0,0,0
53.7738006731,7.46490134462,7.44454783605,40.0,0,1097,0,0,0
46.94345564,8.45196688978,8.37464597014,40.0,0,1118,0,0,0
46.3780193329,8.57234334601,8.59957481907,40.0,0,1139,0,0,0
54.775390625,7.45376358743,7.32522600164,40.0,0,1162,0,0,0
73.540348407,5.61912900031,5.63099711233,40.0,0,1184,0,0,0
77.1417928184,5.39073731858,5.35828578464,40.0,0,1205,0,0,0
72.147241354,5.81814374988,5.87721909301,40.0,0,1227,0,0,0
72.96875,5.75508534714,5.78549546094,40.0,0,1264,0,0,0
104.077270508,4.05254665978,4.12893142083,40.0,0,1297,0,0,0
124.375,3.46301777256,3.46898647306,40.0,0,1319,0,0,0
112.88490208,3.78661211662,3.77896928317,40.0,0,1341,0,0,0
96.7388916016,4.51380720776,4.47465727574,40.0,0,1363,0,0,0
82.625,5.22278518519,5.22278518519,40.0,0,1432,0,0,0
139.442932129,3.11607370802,3.1212213766,40.0,0,1457,0,0,0
135.600204317,3.18237116285,3.17037996473,40.0,0,1479,0,0,0
153.772696336,2.84370279556,2.81652888113,40.0,0,1534,0,0,0
194.43661499,2.24090916091,2.27708600943,40.0,0,1555,0,0,0
96.0867399403,4.48331673496,4.50385735484,40.0,0,1577,0,0,0
90.625,4.70213149847,4.61059747706,40.0,0,1603,0,0,0
106.4453125,3.9475412368,3.99270963331,40.0,0,1632,0,0,0
85.0734826367,4.97057155458,4.97508403228,40.0,0,1655,0,0,0
90.8705587005,4.61998311144,4.63465850632,40.0,0,1678,0,0,0
57.609697613,7.39137516918,7.39744147758,40.0,0,1699,0,0,0
57.724609375,7.02251954657,7.20258415033,40.0,0,1726,0,0,0
81.86328125,5.12184015337,5.18928586689,40.0,0,1749,0,0,0
103.674240112,4.08336248631,4.13237754609,40.0,0,1771,0,0,0
116.61328125,3.79587641172,3.75344686193,40.0,0,1858,0,0,0
205.109375,2.23790327755,2.28846679939,40.0,0,2054,0,0,0
371.736206408,1.20046369907,0.961701522788,30.0,0,2081,0,0,0
347.387824025,1.29213857161,0.762051369855,20.0,0,2109,0,0,0
68.9250549918,7.30977438024,5.39414749059,10.0,0,2131,0,0,0
9.86113357544,6.61073472141,10.06375591,20.0,0,2152,0,0,0
17.5990636929,8.82909738399,18.7860884729,40.0,0,2175,0,0,0
24.9292142391,9.44903798164,15.3193809308,40.0,0,2196,0,0,0
38.0405990057,9.99490343352,10.0756512332,40.0,0,2217,0,0,0
33.0296872634,11.4888085006,11.559180426,40.0,0,2253,0,0,0
47.2137843035,8.38796064597,8.39480304686,40.0,0,2277,0,0,0
60.9491005154,6.72123825515,6.66879993437,40.0,0,2300,0,0,0
54.6778763926,7.35630792566,7.37361353709,40.0,0,2322,0,0,0
54.6817135811,7.37436130779,7.37194496163,40.0,0,2343,0,0,0
50.4730178919,7.94571007359,7.97259996507,40.0,0,2375,0,0,0
63.6415896843,6.41248273009,6.45163477807,40.0,0,2398,0,0,0
57.5795501456,7.02950316301,7.07094518473,40.0,0,2419,0,0,0
47.3604576549,8.46138532082,8.45251009631,40.0,0,2440,0,0,0
40.4722022414,9.71964237349,9.67033579537,40.0,0,2462,0,0,0
48.9087827999,8.09665096111,8.1508121465,40.0,0,2487,0,0,0
54.7470474243,7.35386620869,7.3613295838,40.0,0,2509,0,0,0
53.013967138,7.64414141885,7.66667632528,40.0,0,2543,0,0,0
59.8033368506,6.8387498295,6.82087841021,40.0,0,2567,0,0,0
55.3344068527,7.26567754957,7.30339986617,40.0,0,2591,0,0,0
73.4190887357,5.66632836318,5.64947815132,40.0,0,2613,0,0,0
71.6554293036,5.7514968187,5.82748861967,40.0,0,2634,0,0,0
68.1336785603,6.10545868879,6.11429640462,40.0,0,2655,0,0,0
51.2378305024,7.86562065322,7.90045109213,40.0,0,2689,0,0,0
52.8329947817,7.55601645572,7.59988932337,40.0,0,2713,0,0,0
64.9625390321,6.34796917744,6.32858190147,40.0,0,2736,0,0,0
65.1060852618,6.32474745107,6.32305770822,40.0,0,2758,0,0,0
61.1302757263,6.65926722842,6.69439593936,40.0,0,2780,0,0,0
71.6478402019,5.81488683137,5.76010254518,40.0,0,2802,0,0,0
71.8568755646,5.76810766049,5.73380680406,40.0,0,2823,0,0,0
75.1670576948,5.53744225671,5.54446410775,40.0,0,2845,0,0,0
60.4515230061,6.80715113715,6.80126082683,40.0,0,2869,0,0,0
53.9274674069,7.45154281198,7.44940761903,40.0,0,2891,0,0,0
51.573976657,7.74300988167,7.75013617713,40.0,0,2913,0,0,0
49.9653953582,7.97959727137,8.018590095,40.0,0,2935,0,0,0
53.6497890353,7.4631243054,7.50559744601,40.0,0,2956,0,0,0
54.1679873811,7.45689262624,7.42284475419,40.0,0,2978,0,0,0
53.7821440548,7.53297594464,7.47772153078,40.0,0,3004,0,0,0
56.4894316491,7.18488781063,7.20506622228,40.0,0,3027,0,0,0
61.2782859618,6.62029056307,6.63146589763,40.0,0,3049,0,0,0
56.2581238084,7.19196123999,7.20547041949,40.0,0,3071,0,0,0
55.3917266942,7.29767938652,7.30844754593,40.0,0,3097,0,0,0
61.8772480448,6.57983451126,6.56628860976,40.0,0,3119,0,0,0
63.5731225014,6.41508348978,6.41072771186,40.0,0,3145,0,0,0
75.3823982733,5.52414959289,5.53744035854,40.0,0,3167,0,0,0
66.5802523696,6.15963062483,6.21796999428,40.0,0,3190,0,0,0
81.615234375,5.14718260353,5.17270673077,40.0,0,3214,0,0,0
67.30522681,6.12219789105,6.17289033995,40.0,0,3235,0,0,0
69.9211919243,5.92960950865,5.93567896368,40.0,0,3256,0,0,0
69.2799334526,5.96817271641,6.02114658707,40.0,0,3277,0,0,0
68.4190022349,6.0288917805,6.03981012776,40.0,0,3298,0,0,0
66.4145853986,6.2074456248,6.19404760362,40.0,0,3325,0,0,0
69.2541503906,6.03688946902,5.94803371152,40.0,0,3347,0,0,0
66.0328689837,6.23427064188,6.25989023229,40.0,0,3368,0,0,0
69.906021595,5.90821138643,5.91131566534,40.0,0,3389,0,0,0
62.0220644663,6.65770059091,6.71277329092,40.0,0,3411,0,0,0
60.3850634396,6.73469474647,6.78935158988,40.0,0,3434,0,0,0
67.1443443298,6.14452913864,6.17823233492,40.0,0,3455,0,0,0
65.7442983434,6.2107181317,6.2650529767,40.0,0,3477,0,0,0
76.6061083451,5.48664317734,5.40820272966,40.0,0,3500,0,0,0
62.4943077901,6.58878529615,6.63185734112,40.0,0,3523,0,0,0
67.9303787947,6.0514449571,6.12056362316,40.0,0,3547,0,0,0
71.9462890625,5.7985796323,5.74604585205,40.0,0,3568,0,0,0
76.4006748884,5.44149829273,5.47483370058,40.0,0,3591,0,0,0
84.1629710197,4.98300682703,4.98470628,40.0,0,3613,0,0,0
92.5786650274,4.58697985266,4.5852779742,40.0,0,3645,0,0,0
89.0640724792,4.80051890248,4.7851982826,40.0,0,3668,0,0,0
84.6596679688,5.03339654928,4.95344419872,40.0,0,3700,0,0,0
104.875,4.02085988324,4.03173867111,40.0,0,3723,0,0,0
127.40625,3.42293058639,3.35629801063,40.0,0,3745,0,0,0
130.969339305,3.30776719884,3.30122546991,40.0,0,3767,0,0,0
119.350439761,3.59401903098,3.60864916401,40.0,0,3789,0,0,0
80.238411594,5.72946192102,5.72563807352,40.0,0,3810,0,0,0
50.3142744139,7.89518361871,7.93637688302,40.0,0,3832,0,0,0
49.9427490234,8.00987045239,7.99507729835,40.0,0,3854,0,0,0
63.9807538986,6.40764180021,6.39718853247,40.0,0,3877,0,0,0
71.7331711297,5.7709516167,5.78050830405,40.0,0,3901,0,0,0
77.1453425824,5.39701429495,5.40329269286,40.0,0,3925,0,0,0
68.9298004927,6.03367617356,6.04436417217,40.0,0,3947,0,0,0
68.7669447064,5.97858566435,6.05907191133,40.0,0,3969,0,0,0
70.7570307444,5.8829800775,5.86773467946,40.0,0,3999,0,0,0
79.7191783041,5.27723515266,5.23793873224,40.0,0,4023,0,0,0
78.4837865397,5.34903418213,5.33691095384,40.0,0,4047,0,0,0
81.7101314291,5.13310593632,5.117538962,40.0,0,4070,0,0,0
92.0390281677,4.64077461364,4.63748585249,40.0,0,4102,0,0,0
99.3149189949,4.28467984033,4.26397253315,40.0,0,4133,0,0,0
