delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
4.34375,0.197741666667,1.5418421875,10.0,0,93,0.0197741666667,0.0668618679047,0_1_0
99.890625,0.335513507017,0.761525675195,20.0,0,140,0.0335513507017,0.00415587425232,0_0_1
199.0,0.378855018587,1.28005947955,30.0,0,200,0.0378855018587,0.000308990478516,0_0_1
230.0,0.377493333333,1.11,20.0,0,230,0.0377493333333,0.000301122665405,0_0_1
153.140625,0.504112632796,1.42828742944,10.0,0,276,0.0504112632796,0.00032901763916,0_1_0
158.0,0.450140350877,1.25964912281,1.0,0,322,0.0450140350877,0.000235080718994,1_0_0
182.625,0.415318320823,1.09789562009,1.0,0,420,0.0415318320823,0.000333070755005,1_0_0
270.25,0.381488231982,0.732048704955,1.0,0,464,0.0381488231982,0.000244855880737,1_0_0
317.0,0.417572967604,0.56071752451,1.0,0,502,0.0417572967604,0.000338077545166,1_0_0
364.0,0.421149425287,0.44999078341,1.0,0,529,0.0421149425287,0.000170946121216,1_0_0
397.0,0.416,0.393593147752,1.0,0,562,0.0416,0.000356912612915,1_0_0
426.0,0.414841046278,0.347419354839,1.0,0,591,0.0414841046278,0.000293970108032,1_0_0
446.875,0.423150563607,0.308739592786,1.0,0,645,0.0423150563607,0.000226974487305,1_0_0
491.0,0.408741532977,0.245732620321,1.0,0,669,0.0408741532977,0.000287055969238,1_0_0
492.0,0.404684303351,0.224854092527,1.0,0,702,0.0404684303351,0.000215768814087,1_0_0
519.0,0.40562962963,0.195042444822,1.0,0,729,0.040562962963,0.000451803207397,1_0_0
539.75,0.412938631615,0.167265506008,1.0,0,763,0.0412938631615,0.000314950942993,1_0_0
578.0,0.421758039816,0.124098765432,1.0,0,788,0.0421758039816,0.000226974487305,1_0_0
613.0,0.417,0.100919472914,1.0,0,824,0.0417,0.000247955322266,1_0_0
628.75,0.42602192876,0.0802126436782,1.0,0,858,0.042602192876,0.000221967697144,1_0_0
701.0,0.41412371134,0.0447003891051,1.0,0,911,0.041412371134,0.000365018844604,1_0_0
721.625,0.419551075468,0.0272531943858,1.0,0,951,0.0419551075468,0.000240087509155,1_0_0
0.0,0.225254901961,0.225254901961,1.0,0,1006,0.0225254901961,0.00298810005188,1_0_0
31.0,0.133581395349,1.54107317073,11.0,0,1091,0.0133581395349,0.00307703018188,0_1_0
85.0,0.164114285714,1.77388235294,21.0,0,1146,0.0164114285714,0.00318694114685,0_0_1
119.0,0.198068965517,2.09487058824,31.0,0,1176,0.0198068965517,0.00031304359436,0_0_1
158.0,0.215737089202,1.64899521531,21.0,0,1216,0.0215737089202,0.000504970550537,0_0_1
183.875,0.246479583078,1.41864185811,11.0,0,1282,0.0246479583078,0.000387907028198,0_1_0
280.0,0.240047761194,0.937087613293,1.0,0,1337,0.0240047761194,0.000259876251221,1_0_0
345.0,0.22976,0.754262626263,1.0,0,1403,0.022976,0.000217914581299,1_0_0
379.0,0.238230414747,0.667906976744,1.0,0,1437,0.0238230414747,0.000415086746216,1_0_0
398.0,0.256221774194,0.611844680548,1.0,0,1499,0.0256221774194,0.000214099884033,1_0_0
375.25,0.296990554771,0.589961637892,1.0,0,1541,0.0296990554771,0.000370979309082,1_0_0
426.0,0.310486486486,0.481677148847,1.0,0,1570,0.0310486486486,0.00022292137146,1_0_0
460.0,0.312295145631,0.427146771037,1.0,0,1603,0.0312295145631,0.000239133834839,1_0_0
476.375,0.326966380016,0.389602610105,1.0,0,1643,0.0326966380016,0.000242948532104,1_0_0
539.0,0.328781144781,0.311538983051,1.0,0,1682,0.0328781144781,0.000342130661011,1_0_0
619.0,0.306801186944,0.257194029851,1.0,0,1762,0.0306801186944,0.000356912612915,1_0_0
667.0,0.302315789474,0.224,1.0,0,1811,0.0302315789474,0.000346899032593,1_0_0
687.75,0.311324325812,0.200442789805,1.0,0,1879,0.0311324325812,0.000401973724365,1_0_0
712.0,0.31720915532,0.164571772824,1.0,0,2035,0.031720915532,0.000318050384521,1_0_0
863.0,0.287825708061,0.113120350109,1.0,0,2061,0.0287825708061,0.000258922576904,1_0_0
892.0,0.291142555438,0.0974591728526,1.0,0,2089,0.0291142555438,0.000462055206299,1_0_0
906.625,0.300141754804,0.0825074500043,1.0,0,2123,0.0300141754804,0.00031304359436,1_0_0
947.5,0.3108266007,0.0561274210741,1.0,0,2169,0.03108266007,0.000439167022705,1_0_0
1009.375,0.315108330439,0.0314264438016,1.0,0,2370,0.0315108330439,0.000287055969238,1_0_0
1269.0,0.268978851964,0.00870303030303,1.0,0,2466,0.0268978851964,0.000233888626099,1_0_0
89.0,0.0820571428571,0.0820571428571,1.0,0,2610,0.00820571428571,0.00377702713013,1_0_0
127.0,0.0631208791209,0.70993258427,11.0,0,2789,0.00631208791209,0.000436067581177,0_1_0
158.875,0.115512421488,0.564072196197,1.0,0,2953,0.0115512421488,0.000349998474121,1_0_0
301.625,0.139716302068,0.249393719677,1.0,0,2982,0.0139716302068,0.000283002853394,1_0_0
353.0,0.200662868687,0.140146239893,1.0,0,3106,0.0200662868687,0.000370979309082,1_0_0
468.625,0.199872589942,0.0639654227681,1.0,0,3191,0.0199872589942,0.00037693977356,1_0_0
585.0,0.197141965679,0.0180628930818,1.0,0,3248,0.0197141965679,0.000272989273071,1_0_0
275.0,0.0351314984709,0.0352392638037,1.0,0,3575,0.00351314984709,0.000277042388916,1_0_0
293.0,0.0332985507246,0.0333953488372,1.0,0,3920,0.00332985507246,0.000267028808594,1_0_0
