delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
23.7986302376,5.24576949127,27.4944352291,30.0,0,87,0,0,0
177.515118003,4.99455281571,18.1963419923,80.0,0,247,0,0,0
1141.54408237,4.85204298464,9.98593783696,145.0,0,387,0,0,0
1899.3381684,4.91582795034,8.20746791152,137.5,0,436,0,0,0
3125.03652728,6.10454885377,5.39694787388,90.0,0,641,0,0,0
2702.02906682,5.59779875535,3.15597908956,45.75,0,735,0,0,0
928.015625,5.2557311834,3.54349785236,28.25,0,796,0,0,0
255.65625,5.21729684355,4.74996550515,39.5,0,874,0,0,0
344.293212891,5.95513632467,8.04889009968,64.5,0,954,0,0,0
694.786971211,6.83310842549,7.68499660291,54.75,0,1056,0,0,0
326.3984375,7.51236912193,6.56549494448,27.75,0,1112,0,0,0
321.138916016,6.56622910889,7.00891962012,29.75,0,1173,0,0,0
429.03125,6.01902226327,6.59016929312,33.0,0,1270,0,0,0
1016.3359375,4.5522761523,3.91841339994,26.75,0,1327,0,0,0
1025.5625,4.418969005,5.10512846742,22.25,0,1457,0,0,0
964.125,3.57369011176,3.82277181034,21.0,0,1568,0,0,0
722.25,4.81181310746,6.1948054828,21.0,0,1626,0,0,0
548.25,4.14471539502,5.92851558403,23.0,0,1666,0,0,0
222.375,7.34606140144,10.5149710931,20.0,0,1696,0,0,0
3006.0,2.45371572955,3.40883234442,29.0,0,2055,0,0,0
4447.75,2.49597317274,1.97998970704,21.0,0,2089,0,0,0
573.125,7.66451474334,8.74251668693,20.0,0,2130,0,0,0
200.125,6.7643885334,14.4709451441,28.0,0,2171,0,0,0
317.0,8.23663742683,11.8847625602,27.0,0,2211,0,0,0
345.568359375,8.66072980673,11.4487991864,27.0,0,2256,0,0,0
497.060546875,6.68939741567,6.9459072011,22.0,0,2310,0,0,0
324.0,7.15536556267,9.18937454039,21.0,0,2346,0,0,0
312.375,6.61196055829,10.0735151259,20.0,0,2381,0,0,0
368.0,6.5392919861,8.5079595339,21.0,0,2412,0,0,0
286.25,7.38772159869,12.02831195,24.0,0,2472,0,0,0
398.75,7.23335786727,8.12976152348,21.0,0,2507,0,0,0
307.5,7.70117108521,9.77949296591,20.0,0,2546,0,0,0
441.375,6.44879891613,8.02081170985,20.0,0,2589,0,0,0
669.0,5.22767778981,5.335406709,20.0,0,2637,0,0,0
309.125,8.47875262681,9.79010510144,20.0,0,2694,0,0,0
365.375,7.39816580361,8.72737301932,20.0,0,2729,0,0,0
371.0,7.18280660277,8.02837037311,20.0,0,2765,0,0,0
643.0,5.21062185214,5.49804439988,20.0,0,2805,0,0,0
461.0,6.43897643638,6.98735067667,20.0,0,2837,0,0,0
335.0,7.41862624368,8.48832219239,20.0,0,2865,0,0,0
285.0,8.2753657366,9.34597290431,20.0,0,2895,0,0,0
311.0,7.88196279551,8.84720646319,20.0,0,2931,0,0,0
394.25,6.80303357841,7.68275582909,20.0,0,2966,0,0,0
311.875,8.17648364279,9.32254776004,20.0,0,3007,0,0,0
397.75,6.8529138676,7.81547812078,20.0,0,3040,0,0,0
305.0,7.90401744438,8.97432183902,20.0,0,3066,0,0,0
514.0,6.06561635831,6.53384687106,20.0,0,3116,0,0,0
511.0,5.60941321854,6.41165510453,20.0,0,3157,0,0,0
396.0,6.75030638652,7.95268037948,20.0,0,3199,0,0,0
556.0,5.62737127117,6.10424824108,20.0,0,3226,0,0,0
408.25,6.42048641443,7.74191933082,20.0,0,3270,0,0,0
554.0,5.77638928338,6.27392037358,20.0,0,3306,0,0,0
463.875,6.23817549864,7.29895269797,20.0,0,3346,0,0,0
376.0,6.59673802368,7.95621990998,20.0,0,3392,0,0,0
326.0,6.88660453294,8.70614750917,20.0,0,3418,0,0,0
487.5,6.43051986253,7.44950084908,20.0,0,3466,0,0,0
323.0,6.71930226987,10.1055308093,20.0,0,3506,0,0,0
462.0,6.24837277556,7.6093297291,21.0,0,3561,0,0,0
749.125,4.85039425939,4.8706772815,20.0,0,3606,0,0,0
757.0,4.5758364468,4.81338901004,20.0,0,3651,0,0,0
962.0,4.28173768876,4.56260956932,20.0,0,3746,0,0,0
1015.0,4.48550515974,4.97023363988,20.0,0,3778,0,0,0
342.0,7.74056549335,8.40717551415,20.0,0,3806,0,0,0
539.625,6.19401014692,7.26303709971,20.0,0,3877,0,0,0
433.0,6.30195461654,7.51855181896,20.0,0,3912,0,0,0
489.0,6.10913524949,6.67220035883,20.0,0,3953,0,0,0
545.0,5.76717657047,6.18569814621,20.0,0,4006,0,0,0
592.0,5.2814016749,5.96521096267,20.0,0,4042,0,0,0
708.0,4.42910094973,5.63018725693,20.0,0,4111,0,0,0
954.0,3.87011305928,4.09496489519,20.0,0,4201,0,0,0
809.0,4.18674926389,4.80851078395,20.0,0,4239,0,0,0
750.0,4.16929632642,4.84587971684,20.0,0,4303,0,0,0
939.0,3.86599368,4.02682488301,20.0,0,4348,0,0,0
993.0,3.64948063124,3.83928384203,20.0,0,4423,0,0,0
903.0,3.86844665438,4.27402417375,20.0,0,4486,0,0,0
885.0,4.11658718804,4.38322021455,20.0,0,4530,0,0,0
687.0,4.66714314595,5.2387138054,20.0,0,4588,0,0,0
648.0,5.2492102504,5.65135059192,20.0,0,4623,0,0,0
618.0,4.8171074534,5.70601285166,20.0,0,4678,0,0,0
593.125,5.06932845738,6.32489318979,20.0,0,4747,0,0,0
238.890625,7.81073135335,16.8971215136,20.0,0,4801,0,0,0
267.875,7.43812629973,11.1475681065,21.0,0,4826,0,0,0
505.0,6.15591926612,6.64041649059,20.0,0,4873,0,0,0
262.875,7.40224018344,11.1480011438,20.0,0,4907,0,0,0
276.0,7.4174838957,11.4636800042,21.0,0,4957,0,0,0
431.25,6.31446939541,8.17254988508,21.0,0,5010,0,0,0
491.875,5.88717905026,6.78013164468,20.0,0,5050,0,0,0
462.0,6.47867542176,7.0716769382,20.0,0,5089,0,0,0
349.0,7.34767334852,8.87384665666,20.0,0,5143,0,0,0
403.75,7.12576511283,8.51684741077,20.0,0,5169,0,0,0
357.0,7.41193209587,8.42811340772,20.0,0,5199,0,0,0
321.0,8.04649155667,9.08704323507,20.0,0,5225,0,0,0
350.875,7.84774822069,8.55284691903,20.0,0,5259,0,0,0
494.0,6.14489864056,6.72980690844,20.0,0,5296,0,0,0
667.0,4.76837571747,5.41899137827,20.0,0,5355,0,0,0
259.328125,7.33438052862,15.7244483883,22.0,0,5401,0,0,0
335.4375,7.56907730955,12.6690865966,23.0,0,5434,0,0,0
449.375,7.18132411755,7.74862985822,20.0,0,5466,0,0,0
504.875,6.27845200304,7.19838917799,20.0,0,5551,0,0,0
310.0,5.17043143856,11.0830943493,20.0,0,5620,0,0,0
310.375,6.20470519299,13.2845319374,22.0,0,5678,0,0,0
421.609375,6.9285206349,9.26295283095,20.0,0,5745,0,0,0
387.75,6.83789729816,8.92276427969,20.0,0,5794,0,0,0
279.609375,6.97620707502,13.3436650756,22.0,0,5858,0,0,0
509.125,7.10579359201,7.91393133824,22.0,0,5890,0,0,0
400.0,7.79351978773,8.58048135486,20.0,0,5915,0,0,0
479.0,7.21700935712,8.0359088569,20.0,0,5969,0,0,0
526.21875,5.16373789066,10.6282045631,23.0,0,6019,0,0,0
352.6875,9.24590634497,12.9636008163,20.0,0,6075,0,0,0
597.703125,6.09812401695,6.41277207072,20.0,0,6114,0,0,0
512.0,6.51823065063,7.22223586584,20.0,0,6157,0,0,0
321.5,7.84802546761,12.8933976378,20.0,0,6217,0,0,0
423.25,6.9899194708,9.50401253321,20.0,0,6265,0,0,0
355.75,8.0784089597,11.0114464615,20.0,0,6335,0,0,0
323.375,7.8485718471,11.1831599878,20.0,0,6364,0,0,0
325.0,8.10562417625,10.1684434404,20.0,0,6397,0,0,0
465.0,6.67311712687,7.86772789794,20.0,0,6437,0,0,0
357.5,6.99645288038,10.7426715545,20.0,0,6495,0,0,0
592.0,5.76916771774,6.39784257233,20.0,0,6542,0,0,0
520.0,6.25817062062,7.27255996463,20.0,0,6564,0,0,0
399.75,7.54107005562,8.68429859276,20.0,0,6600,0,0,0
579.0,6.04228793294,6.56512979985,20.0,0,6641,0,0,0
573.0,6.2524863461,6.96107046062,20.0,0,6682,0,0,0
504.0,6.42066578698,7.20354589505,20.0,0,6717,0,0,0
415.625,7.5875458822,9.64772211749,20.0,0,6782,0,0,0
487.375,5.6522433461,8.60723437463,21.0,0,6830,0,0,0
417.0,7.19889187444,8.93499870347,20.0,0,6885,0,0,0
316.0,8.19968580422,10.6983828051,20.0,0,6935,0,0,0
486.625,6.73927743607,7.59730551495,20.0,0,6982,0,0,0
315.6875,8.52615308797,11.2084769757,20.0,0,7015,0,0,0
364.125,7.01614151809,12.2617989389,20.0,0,7052,0,0,0
453.0,7.10935504558,8.0262674488,20.0,0,7087,0,0,0
423.625,7.48976168234,8.64109440998,20.0,0,7122,0,0,0
473.375,6.49174320532,8.058387851,20.0,0,7161,0,0,0
400.875,8.97217784096,10.5852971839,20.0,0,7222,0,0,0
342.75,8.30541726439,10.5901957739,20.0,0,7249,0,0,0
367.75,7.62631367864,9.76162727928,20.0,0,7286,0,0,0
374.5,8.33555906925,10.9950152419,20.0,0,7327,0,0,0
240.375,9.62651159572,14.5503078306,20.0,0,7369,0,0,0
304.625,7.6756095062,11.5516533316,20.0,0,7413,0,0,0
292.0,7.99469953768,11.6802514735,20.0,0,7464,0,0,0
363.875,7.79923401935,10.2332512956,20.0,0,7515,0,0,0
442.875,7.26620261368,9.25598813527,20.0,0,7543,0,0,0
312.625,9.19169645033,12.8036382616,20.0,0,7567,0,0,0
376.25,8.47697055339,11.38988224,20.0,0,7618,0,0,0
437.375,6.24855335521,14.2330273684,20.0,0,7660,0,0,0
447.125,6.71730114054,8.68961507106,20.0,0,7693,0,0,0
659.875,5.9926421459,6.66139156824,20.0,0,7738,0,0,0
497.125,6.67102763923,8.85870969869,20.0,0,7783,0,0,0
314.0,8.26720348505,14.5147770335,20.0,0,7808,0,0,0
242.765625,9.28280030717,17.3867691156,20.0,0,7836,0,0,0
524.0,6.72726916973,7.44074710684,20.0,0,7880,0,0,0
324.875,9.31416193326,12.8401092242,20.0,0,7914,0,0,0
560.75,5.61969271466,7.77732330934,20.0,0,7969,0,0,0
583.375,5.95058419056,7.15870187651,20.0,0,7995,0,0,0
360.625,7.0913159607,11.0153290891,20.0,0,8033,0,0,0
331.375,7.51787704539,11.7142528625,20.0,0,8066,0,0,0
361.625,8.81085650146,10.8312813961,20.0,0,8096,0,0,0
647.0,5.66959961891,6.20398184795,20.0,0,8137,0,0,0
493.0,6.48688474216,8.15288131301,20.0,0,8182,0,0,0
555.0,5.9828500947,7.2362527522,20.0,0,8207,0,0,0
524.75,6.21932997862,7.34123577064,20.0,0,8252,0,0,0
395.375,6.63741777123,10.135779476,20.0,0,8294,0,0,0
496.5,5.70683082041,9.39126167905,20.0,0,8355,0,0,0
782.375,4.85801092565,5.60007601382,20.0,0,8395,0,0,0
602.0,5.70742802491,6.63833934906,20.0,0,8435,0,0,0
305.625,8.60884778245,12.321298301,20.0,0,8493,0,0,0
247.0,8.57443393918,13.616188857,20.0,0,8523,0,0,0
414.125,7.14873808071,9.32473015332,20.0,0,8557,0,0,0
488.25,6.97416083306,8.06277470166,20.0,0,8591,0,0,0
489.625,7.97946510853,8.94015386934,20.0,0,8632,0,0,0
429.3125,6.36994331402,11.4984459815,20.0,0,8667,0,0,0
412.75,7.85045230024,10.8293521167,20.0,0,8739,0,0,0
481.625,6.73750511349,9.07199976549,20.0,0,8811,0,0,0
320.75,7.29691947124,12.1441782654,20.0,0,8861,0,0,0
396.75,7.71855574157,9.28571620522,20.0,0,8891,0,0,0
673.0,5.30582986358,5.88238189693,20.0,0,8933,0,0,0
538.0,6.43078719969,7.14715810713,20.0,0,8978,0,0,0
311.375,7.1389732504,12.7865427543,20.0,0,9035,0,0,0
296.578125,8.22893766994,15.5458455323,20.0,0,9075,0,0,0
306.453125,7.58278950542,14.0572502943,20.0,0,9103,0,0,0
429.0,7.67606529007,8.61637809986,20.0,0,9136,0,0,0
434.0,7.21983632019,8.68673079434,20.0,0,9176,0,0,0
382.75,7.09943188151,10.5406100951,20.0,0,9212,0,0,0
558.75,5.98057473224,7.88787474929,20.0,0,9257,0,0,0
554.0,5.81366281116,7.01132946122,20.0,0,9300,0,0,0
547.0,6.43627179402,7.02640787216,20.0,0,9335,0,0,0
570.0,6.32418212388,6.97812057459,20.0,0,9371,0,0,0
430.375,6.96734047335,9.91120851786,20.0,0,9435,0,0,0
550.0,6.79973243061,7.86069447755,20.0,0,9508,0,0,0
543.0,6.50492543997,7.30007917175,20.0,0,9532,0,0,0
660.0,5.6353172003,6.04816196558,20.0,0,9587,0,0,0
394.5,7.51063704857,12.3601371882,20.0,0,9632,0,0,0
515.875,6.86055544806,7.60236207633,20.0,0,9694,0,0,0
443.75,6.94382633472,8.71015636067,20.0,0,9722,0,0,0
604.625,6.10121772373,7.46768295325,20.0,0,9772,0,0,0
538.5,6.82760213143,8.22233527122,20.0,0,9815,0,0,0
312.875,7.53363545023,12.2537666993,20.0,0,9850,0,0,0
375.0,8.04917248142,9.54738909039,20.0,0,9877,0,0,0
397.0,7.62510854091,9.14552359413,20.0,0,9905,0,0,0
