delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
3.625,0.2511,2.34336057971,10.0,0,79,0,0,0
86.017578125,0.34563093353,0.802713383778,10.0,0,132,0,0,0
152.0,0.457454545455,0.519878787879,1.0,0,152,0,0,0
166.0,0.480716981132,0.432075471698,1.0,0,167,0,0,0
194.0,0.471866666667,0.334433333333,1.0,0,194,0,0,0
212.0,0.439968992248,0.267162790698,1.0,0,258,0,0,0
163.0,0.489607655502,0.274832535885,1.0,0,288,0,0,0
169.515625,0.4832761047,0.196831963599,1.0,0,335,0,0,0
251.0,0.384754208754,0.0386801346801,1.0,0,382,0,0,0
52.0,0.11604040404,0.117224489796,1.0,0,482,0,0,0
5.0,1.14744208038,1.46655319149,1.0,0,539,0,0,0
41.0,0.225254901961,0.239333333333,1.0,0,590,0,0,0
52.0,0.185290322581,0.194711864407,1.0,0,652,0,0,0
44.0,0.212740740741,0.225254901961,1.0,0,706,0,0,0
48.0,0.198068965517,0.208872727273,1.0,0,763,0,0,0
37.0,0.249739130435,0.261090909091,1.0,0,809,0,0,0
31.0,0.2872,0.302315789474,1.0,0,849,0,0,0
39.0,0.239333333333,0.249739130435,1.0,0,898,0,0,0
64.0,0.155243243243,0.161802816901,1.0,0,971,0,0,0
32.0,0.280195121951,0.294564102564,1.0,0,1012,0,0,0
43.0,0.220923076923,0.22976,1.0,0,1064,0,0,0
76.0,0.135152941176,0.138409638554,1.0,0,1149,0,0,0
79.0,0.130545454545,0.133581395349,1.0,0,1237,0,0,0
49.0,0.198068965517,0.205142857143,1.0,0,1296,0,0,0
93.0,0.111533980583,0.11488,1.0,0,1399,0,0,0
88.0,0.117224489796,0.120926315789,1.0,0,1497,0,0,0
54.0,0.1795,0.188327868852,1.0,0,1560,0,0,0
33.0,0.273523809524,0.2872,1.0,0,1602,0,0,0
52.0,0.188327868852,0.194711864407,1.0,0,1663,0,0,0
32.0,0.280195121951,0.294564102564,1.0,0,1704,0,0,0
109.0,0.0973559322034,0.0990344827586,1.0,0,1820,0,0,0
56.0,0.182349206349,0.182349206349,1.0,0,1886,0,0,0
57.0,0.171462686567,0.1795,1.0,0,1953,0,0,0
159.0,0.0679763313609,0.0692048192771,1.0,0,2119,0,0,0
33.0,0.2872,0.2872,1.0,0,2162,0,0,0
31.0,0.280195121951,0.302315789474,1.0,0,2203,0,0,0
31.0,0.280195121951,0.302315789474,1.0,0,2244,0,0,0
274.0,0.0404507042254,0.0408825622776,1.0,0,2525,0,0,0
133.0,0.0820571428571,0.0820571428571,1.0,0,2665,0,0,0
175.0,0.0631208791209,0.0631208791209,1.0,0,2847,0,0,0
158.0,0.0696242424242,0.0696242424242,1.0,0,3012,0,0,0
21.0,0.410285714286,0.410285714286,1.0,0,3042,0,0,0
116.0,0.091904,0.0933983739837,1.0,0,3165,0,0,0
78.0,0.135152941176,0.135152941176,1.0,0,3252,0,0,0
127.0,0.0844705882353,0.0857313432836,1.0,0,3386,0,0,0
318.0,0.0352392638037,0.0353476923077,1.0,0,3713,0,0,0
294.0,0.0380397350993,0.0381661129568,1.0,0,4015,0,0,0
18.0,0.441846153846,0.45952,1.0,0,4042,0,0,0
258.0,0.0430262172285,0.0433509433962,1.0,0,4308,0,0,0
302.0,0.0370580645161,0.0371779935275,1.0,0,4617,0,0,0
795.0,0.0143241895262,0.0143241895262,1.0,0,5420,0,0,0
1140.0,0.0100069686411,0.0200313862249,1.0,0,6567,0,0,0
150.0,0.0198068965517,0.0731719745223,1.0,0,6580,0,0,0
50.0,0.198068965517,0.201543859649,1.0,0,6639,0,0,0
669.0,0.0169439528024,0.0169940828402,1.0,0,7315,0,0,0
373.0,0.0302315789474,0.0302315789474,1.0,0,7695,0,0,0
775.0,0.0146905370844,0.0146905370844,1.0,0,8478,0,0,0
562.0,0.0201543859649,0.0201898066784,1.0,0,9047,0,0,0
287.0,0.039074829932,0.039074829932,1.0,0,9341,0,0,0
