delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
7.82104492188,1.31831264233,7.61884985943,20.0,0,25,0,0,0
103.955531597,3.80280327618,9.88163645022,100.0,0,171,0,0,0
515.956992984,4.19157250748,15.8129782552,220.0,0,287,0,0,0
801.422778964,3.34532788797,13.8423916974,230.0,0,316,0,0,0
3527.47523982,6.83614219557,18.0424191602,470.0,0,595,0,0,0
3789.31343866,7.14456121589,16.4804308199,420.0,0,632,0,0,0
4039.97341562,7.14490266189,15.7595210782,421.0,0,670,0,0,0
4122.55013437,7.32497892421,15.8077312365,411.0,0,749,0,0,0
6315.96393105,7.99030207158,15.539090892,433.0,0,822,0,0,0
6520.45539382,7.93005326235,15.022474571,424.0,0,903,0,0,0
6696.00933885,8.21633142523,14.4910382216,394.0,0,990,0,0,0
12086.2570809,7.65794953748,3.73880816514,57.0,0,1572,0,0,0
9092.86425105,6.22924531476,1.73947769004,20.0,0,1668,0,0,0
4043.24455022,8.36313720023,7.68727908875,24.0,0,1713,0,0,0
74.875,7.23228174673,9.75761519711,30.0,0,1782,0,0,0
827.138671875,4.66552252055,6.53530623579,66.0,0,1834,0,0,0
817.790283203,5.38021570389,6.7581420458,74.0,0,1855,0,0,0
1254.17049408,6.11438998843,13.5021987474,178.0,0,1982,0,0,0
1625.71760277,7.00567975559,16.4322483233,240.0,0,2007,0,0,0
1736.98694425,6.23663950025,14.3241856327,248.0,0,2093,0,0,0
1865.44687409,6.21912090205,13.3598708962,248.0,0,2106,0,0,0
2389.46446991,6.47396430887,12.5200184744,270.0,0,2163,0,0,0
6115.99021196,7.72480677304,13.5592416934,251.0,0,2558,0,0,0
7912.3668978,7.19877844694,11.5787453588,154.0,0,2620,0,0,0
9141.33968909,6.50000392087,9.42281770606,151.0,0,3438,0,0,0
11328.2166344,5.73035016729,8.54847010135,132.0,0,3488,0,0,0
12088.1582443,5.63834699097,8.18584696446,132.0,0,3522,0,0,0
12010.225322,5.67585219755,8.11090344635,132.0,0,3562,0,0,0
21691.7809385,4.1119431667,2.16613112462,20.0,0,3812,0,0,0
14843.5475996,5.77596350552,5.18767249044,20.0,0,3849,0,0,0
533.125,5.53410238479,9.20084950112,31.0,0,3911,0,0,0
856.5,5.03872970326,6.92666108193,64.0,0,4004,0,0,0
1942.7513349,6.69858088166,16.3225216406,260.0,0,4191,0,0,0
2038.54625678,6.5855819725,16.8558458229,268.0,0,4202,0,0,0
5434.29264416,8.58012243367,16.0821135989,351.0,0,4678,0,0,0
6628.59241833,8.59606905189,13.9859131202,298.0,0,4803,0,0,0
6855.08474111,9.28196171432,14.5713289582,301.0,0,4829,0,0,0
12801.8877191,8.17531882019,3.88580731304,27.0,0,5396,0,0,0
3321.2755041,7.28095996995,8.82298491262,24.0,0,5531,0,0,0
1824.81054688,5.65276274031,10.9813198952,41.0,0,5553,0,0,0
973.75390625,12.5702503438,25.4699770062,91.0,0,5701,0,0,0
2697.82720165,8.85742640678,16.1928725027,308.0,0,5986,0,0,0
3432.862122,8.22379593951,14.4201716971,374.0,0,5999,0,0,0
7180.86450681,9.25487568165,7.1495010916,134.0,0,6585,0,0,0
8006.96443169,9.04103468708,6.77367231857,109.0,0,6601,0,0,0
9303.205506,6.82869845703,2.06602669201,32.0,0,6868,0,0,0
6445.21286996,6.72146558601,5.34536087705,27.0,0,6893,0,0,0
1249.1177063,8.59425848074,11.5748466284,46.0,0,7060,0,0,0
2245.84943008,7.80388009238,13.3937409362,151.0,0,7182,0,0,0
3946.48346928,5.93145462147,10.4694275592,246.0,0,7544,0,0,0
4171.13776616,5.81685406884,10.4287850863,254.0,0,7646,0,0,0
7938.35116145,7.29603566739,5.86487967651,96.0,0,8044,0,0,0
8730.13222846,7.05508192058,5.2151954184,106.0,0,8078,0,0,0
8739.04378008,7.98329090657,3.50515936891,41.0,0,8228,0,0,0
1842.03900146,4.08425803879,6.45913066286,26.0,0,8355,0,0,0
1135.375,6.32050995372,14.6847591808,55.0,0,8452,0,0,0
1382.375,5.47903035015,12.7169597271,71.0,0,8486,0,0,0
1772.43924665,8.7084884581,17.4803816196,216.0,0,8599,0,0,0
1924.39237165,8.61675736148,19.0921958613,240.0,0,8629,0,0,0
2268.70828962,8.28189441485,22.3717693933,320.0,0,8647,0,0,0
2530.51143646,8.33418288719,22.1134300638,372.0,0,8746,0,0,0
3300.14706421,7.10854974481,21.9723255277,428.0,0,8779,0,0,0
5483.01973558,7.17720146036,16.5351415416,337.0,0,9091,0,0,0
6100.28751381,7.30900885046,13.4450408891,305.0,0,9105,0,0,0
6458.77513069,7.60924958896,11.8487532162,247.0,0,9177,0,0,0
6950.73033259,7.97569017713,10.8064371596,228.0,0,9237,0,0,0
8204.25538121,7.63085487847,9.2865006515,186.0,0,9261,0,0,0
8693.14200459,7.44390351008,8.86584890025,176.0,0,9313,0,0,0
9608.47727553,7.38245863724,8.18620790039,129.0,0,9383,0,0,0
10039.2254701,7.35975485751,7.55424204374,108.0,0,9405,0,0,0
10198.0915591,7.91484682698,6.5303208949,98.0,0,9454,0,0,0
10012.6612485,6.93839623165,2.24820079555,21.0,0,9704,0,0,0
2823.9481702,4.60052757274,4.63626216884,23.0,0,9759,0,0,0
1049.125,4.06019707036,7.68332750767,42.0,0,9814,0,0,0
929.266326904,7.40270029817,13.400007101,92.0,0,9920,0,0,0
1172.5944519,7.26635865076,14.4541640773,122.0,0,9959,0,0,0
2573.03787231,8.02850599659,17.2092202142,300.0,0,10156,0,0,0
2791.49780273,8.24521682001,18.0369322891,320.0,0,10198,0,0,0
2887.13578609,8.6004130465,18.4645485426,290.0,0,10253,0,0,0
3195.34375,8.89750170477,17.61376924,239.0,0,10285,0,0,0
8213.08090973,7.33457835818,7.30923092377,98.0,0,10792,0,0,0
8660.85115026,7.19365699212,3.3662650786,25.0,0,10903,0,0,0
1133.88308716,8.10215621998,18.4757933797,28.0,0,11015,0,0,0
1917.01367188,6.39475576512,12.991814416,116.0,0,11168,0,0,0
3091.828228,7.40532333793,17.1766521116,346.0,0,11428,0,0,0
8394.31330283,8.0861580162,7.74435461562,128.0,0,12059,0,0,0
9213.77484091,7.83224769415,6.21553037009,91.0,0,12156,0,0,0
11535.8157786,7.74738652897,3.11054449238,25.0,0,12501,0,0,0
8946.65535714,6.73370570968,3.33651624319,20.0,0,12528,0,0,0
2297.8843727,9.64309750575,16.2307862296,25.0,0,12546,0,0,0
963.625,8.17497129051,9.95668182002,45.0,0,12646,0,0,0
1302.5,6.38636926376,8.31502253352,61.0,0,12681,0,0,0
1766.92578125,4.37986717385,10.3837773899,110.0,0,12711,0,0,0
1825.46606064,6.5741811051,17.0435113989,220.0,0,12805,0,0,0
1893.39532471,6.8620891438,18.1736405162,240.0,0,12840,0,0,0
1952.49298096,7.55539417064,19.4117280384,270.0,0,12864,0,0,0
2936.24285507,7.03225000422,20.2069036815,353.0,0,12982,0,0,0
3335.93868637,6.56630983326,19.4970942202,377.0,0,12995,0,0,0
3531.306458,6.38171883919,17.6010787135,347.0,0,13006,0,0,0
3688.19572067,6.8471886676,16.0766302958,297.0,0,13064,0,0,0
3880.22212769,7.28399669077,14.7190362004,258.0,0,13214,0,0,0
8084.1644249,6.57817441675,7.81897728255,114.0,0,13515,0,0,0
8086.49840927,6.60351818674,7.79077594232,114.0,0,13529,0,0,0
8601.07804713,6.607070751,6.77495970897,103.0,0,13548,0,0,0
11505.8023561,6.17163193564,5.05026465399,83.0,0,13702,0,0,0
11619.5992311,6.07119143382,4.99992921078,83.0,0,13714,0,0,0
14643.9641079,5.71970263485,2.4409013825,42.0,0,13861,0,0,0
10804.1627646,5.43500165837,1.99649661121,20.0,0,13934,0,0,0
2991.56801125,4.48283528243,5.04706301898,26.0,0,14138,0,0,0
3201.75,3.17134089144,4.33764438597,35.0,0,14196,0,0,0
2840.45898438,3.02722671309,4.20577891488,75.0,0,14407,0,0,0
3274.79559648,4.69361179457,8.54174379954,191.0,0,14561,0,0,0
6849.95544902,6.32164756895,9.86735421179,201.0,0,15084,0,0,0
7187.04441539,6.13856962692,10.0181369425,186.0,0,15098,0,0,0
8045.76619832,6.17877616134,9.21722672313,130.0,0,15112,0,0,0
8384.10615171,6.12376934671,7.8253950417,101.0,0,15182,0,0,0
8461.02997984,6.17377824424,7.62393075824,101.0,0,15194,0,0,0
8506.88935484,6.22101607631,7.52797751274,101.0,0,15225,0,0,0
11220.5506683,6.69309811013,3.30965389299,23.0,0,15429,0,0,0
10063.7711151,7.07535892989,2.35013860421,23.0,0,15503,0,0,0
1737.82593159,7.02953289788,9.94116583126,24.0,0,15550,0,0,0
517.125,6.96436240074,12.3351628377,46.0,0,15590,0,0,0
1214.19335938,6.94401184876,13.6904573138,154.0,0,15741,0,0,0
2473.86550407,8.84734733817,15.9063670745,312.0,0,15996,0,0,0
2882.09356241,8.20717897505,14.9115633216,312.0,0,16014,0,0,0
3406.04323845,7.71341952007,14.7359220283,314.0,0,16043,0,0,0
9783.74402237,6.99745469183,5.99862199266,90.0,0,16578,0,0,0
10336.350956,6.92735856481,5.35320160221,85.0,0,16605,0,0,0
11412.0318784,7.09248682041,2.76142952885,20.0,0,16899,0,0,0
7088.60372771,6.19660564466,2.441936575,20.0,0,16959,0,0,0
918.0,4.06839292427,6.1756777205,26.0,0,17007,0,0,0
711.0,6.41674525288,13.164753203,49.0,0,17032,0,0,0
621.976074219,11.0113076484,18.6698086143,102.0,0,17138,0,0,0
906.913574219,11.8285314273,21.0353025982,150.0,0,17163,0,0,0
2811.83910902,8.67340243395,22.6356376879,367.0,0,17342,0,0,0
2885.62548597,8.6878833291,22.9089574121,375.0,0,17353,0,0,0
3065.12939985,9.06204303838,22.6847889619,381.0,0,17441,0,0,0
3665.14334638,8.97553354057,20.9826087179,389.0,0,17469,0,0,0
6912.13519056,8.19772114033,15.838938406,268.0,0,17804,0,0,0
7649.61495284,7.52141097287,14.4673555825,270.0,0,17825,0,0,0
8743.43011243,7.30674367874,14.0132306114,215.0,0,17850,0,0,0
9135.64886243,7.39915631341,13.3263402967,200.0,0,17914,0,0,0
9422.13323743,7.5391179249,12.9091008499,200.0,0,18096,0,0,0
22980.9841029,4.60323472715,3.97891003298,40.0,0,19712,0,0,0
26560.7067767,4.29804512133,3.25023028854,35.0,0,19743,0,0,0
37143.4459943,3.24186118955,0.685876100118,20.0,0,19919,0,0,0
20122.1036527,2.45369967451,1.25727720043,20.0,0,19959,0,0,0
1168.0,3.57970777194,4.35659453272,25.0,0,20042,0,0,0
1171.109375,4.38837049744,8.8866420888,60.0,0,20100,0,0,0
2096.66577148,6.81530877601,13.0310212826,148.0,0,20410,0,0,0
4175.62210246,11.3709023631,12.5920919471,241.0,0,20519,0,0,0
4020.06486117,12.1673170039,13.6789504469,227.0,0,20552,0,0,0
3937.91948897,11.7673519582,14.9411046883,243.0,0,20567,0,0,0
4133.51298047,11.9298385095,15.1151567725,275.0,0,20581,0,0,0
4329.09872856,12.9166579889,15.4901185517,261.0,0,20817,0,0,0
4430.5811506,12.2509431339,14.18175792,251.0,0,20829,0,0,0
4369.41900895,14.3526533777,12.5896979522,228.0,0,20845,0,0,0
4119.2668835,16.6222712129,12.3648289757,140.0,0,20907,0,0,0
3531.98230803,22.5433182942,14.8471953524,138.0,0,20923,0,0,0
