delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
40.4250352532,13.5842935216,64.00031159,130.0,0,164,0,0,0
2626.59872337,10.6077559101,41.3194900388,307.5,0,590,0,0,0
9022.95668775,11.9875935262,12.1041507923,272.0,0,1006,0,0,0
10231.9372773,10.8580741176,6.08038206736,143.5,0,1171,0,0,0
4351.22679961,7.95133131385,5.9398424909,87.0,0,1279,0,0,0
645.695697725,9.19019224589,8.06633028779,101.0,0,1394,0,0,0
1338.89200688,9.34507815196,11.0553917538,157.75,0,1558,0,0,0
2695.8643396,9.97561578219,9.93625089233,115.5,0,1687,0,0,0
2288.52299071,9.27603088204,7.65079397596,71.25,0,1766,0,0,0
562.40234375,9.71661518345,9.11520324227,57.75,0,1830,0,0,0
477.140625,9.90670373808,12.2844972666,92.0,0,1924,0,0,0
1635.72460938,10.5496134153,9.87078783372,125.25,0,2052,0,0,0
2487.39257812,9.66689399688,9.12418795815,78.5,0,2136,0,0,0
940.18359375,10.3895678562,8.57074684992,52.25,0,2198,0,0,0
443.125,8.75319722717,15.4015492853,75.0,0,2308,0,0,0
1354.625,8.22842316639,13.0548809718,118.0,0,2393,0,0,0
1856.82421875,10.3529349475,11.6379087271,91.0,0,2497,0,0,0
1085.84570312,11.1797638149,9.52513054104,52.0,0,2568,0,0,0
775.21875,9.81875296875,43.5296966963,98.0,0,2746,0,0,0
2643.89257812,9.30380890812,12.5791597339,95.0,0,2880,0,0,0
1664.07073975,12.2444301843,37.7861999088,56.0,0,2990,0,0,0
552.69921875,11.3445750896,62.297270104,58.0,0,3120,0,0,0
689.890625,7.31188124203,53.4168544529,62.0,0,3218,0,0,0
1865.625,7.59777520333,14.7797962871,57.0,0,3303,0,0,0
875.84375,11.753237436,37.4101146526,50.0,0,3394,0,0,0
373.71875,8.03815775318,44.934943724,50.0,0,3474,0,0,0
507.5,6.67090593574,41.9993813446,55.0,0,3578,0,0,0
460.12890625,9.89020697366,55.5748509581,53.0,0,3693,0,0,0
766.5,6.52994010601,35.7900565474,52.0,0,3802,0,0,0
440.875,10.1231036809,63.1384862958,51.0,0,3925,0,0,0
518.875,7.16778293689,47.0029529805,51.0,0,4009,0,0,0
634.625,7.65712323252,40.0477195288,51.0,0,4076,0,0,0
578.375,9.54534399663,51.756163633,51.0,0,4172,0,0,0
355.875,9.55663097307,60.7958534777,50.0,0,4291,0,0,0
434.25,9.41447937097,59.5525570011,50.0,0,4457,0,0,0
233.25,11.1520655041,65.5650751045,51.0,0,4534,0,0,0
270.21875,11.8426436509,67.0527325771,51.0,0,4651,0,0,0
483.375,9.19734467921,48.7188256587,50.0,0,4732,0,0,0
247.625,12.7325589148,72.3617383623,50.0,0,4877,0,0,0
417.25,10.1849541103,61.0802556968,50.0,0,4938,0,0,0
605.75,11.5937747985,54.3008660477,50.0,0,5053,0,0,0
455.625,8.34252019136,50.6124259523,50.0,0,5160,0,0,0
452.875,8.33217690202,49.2744851234,50.0,0,5283,0,0,0
329.875,10.7855912377,58.1077850405,50.0,0,5388,0,0,0
539.75,8.29341838114,48.0580629132,50.0,0,5467,0,0,0
647.0,7.78056608052,41.5489040576,50.0,0,5545,0,0,0
751.875,5.88105776652,33.138355489,50.0,0,5649,0,0,0
968.125,6.45972188375,34.4624221371,50.0,0,5730,0,0,0
1228.0,10.9610757001,28.2192813678,50.0,0,5822,0,0,0
492.140625,13.5165693329,60.705905312,50.0,0,5880,0,0,0
980.765625,8.29171770936,42.9626444842,50.0,0,5971,0,0,0
746.03125,11.7352534701,47.3471421553,50.0,0,6063,0,0,0
274.15625,11.5412702462,62.1299699828,50.0,0,6126,0,0,0
296.375,10.525895196,65.135004525,50.0,0,6302,0,0,0
372.625,8.84784892101,56.9375743611,49.0,0,6401,0,0,0
261.375,9.95069015126,68.168572235,50.0,0,6512,0,0,0
488.0,7.72674303657,47.1967433591,50.0,0,6595,0,0,0
526.75,8.21961820361,45.9398880652,50.0,0,6718,0,0,0
440.375,9.54426396982,53.4198932649,50.0,0,6789,0,0,0
509.625,8.96618649541,53.2702045105,50.0,0,6883,0,0,0
523.375,8.39793926003,47.1467443445,50.0,0,6945,0,0,0
653.75,7.22052228686,40.7052768804,50.0,0,7059,0,0,0
1572.0,6.20076243346,16.619926424,50.0,0,7149,0,0,0
475.375,10.2387280802,51.6325690313,50.0,0,7264,0,0,0
526.25,7.33832716719,43.7576377601,50.0,0,7381,0,0,0
798.0,7.28941517371,33.5868768284,50.0,0,7437,0,0,0
995.5,11.9162394936,37.7582174837,50.0,0,7574,0,0,0
341.625,9.31688783316,55.9949561124,50.0,0,7635,0,0,0
298.625,11.0736663897,62.358370169,50.0,0,7737,0,0,0
494.0,7.02098006929,43.7475470813,50.0,0,7834,0,0,0
755.25,6.01007346973,32.5520231848,50.0,0,7905,0,0,0
457.0,9.39314096855,50.60957795,50.0,0,8008,0,0,0
439.875,8.42440758793,47.3194033817,50.0,0,8112,0,0,0
580.46875,8.37690821815,45.5738725848,50.0,0,8182,0,0,0
651.375,8.17545889344,39.9101743598,50.0,0,8271,0,0,0
775.0,6.84386237054,33.9081448691,50.0,0,8358,0,0,0
390.0,9.83921878162,59.809444582,50.0,0,8458,0,0,0
1179.0,6.83632588899,23.3280075851,50.0,0,8543,0,0,0
532.375,9.40420458405,49.8497466162,50.0,0,8619,0,0,0
322.75,8.45388075372,58.4674024786,50.0,0,8740,0,0,0
1063.375,6.31781862641,24.5180819323,50.0,0,8842,0,0,0
394.625,10.9509937441,57.1475113896,50.0,0,8932,0,0,0
363.125,8.91942681925,53.9290351484,50.0,0,9012,0,0,0
277.375,10.1551798219,64.6594646015,50.0,0,9110,0,0,0
573.5,7.88431652433,48.2166669288,50.0,0,9233,0,0,0
570.25,7.59679140505,44.2861047821,50.0,0,9314,0,0,0
748.75,7.25192075063,32.3191419055,50.0,0,9379,0,0,0
353.125,10.0001069867,56.2078328786,50.0,0,9501,0,0,0
1017.625,6.78733224581,31.6758462687,50.0,0,9570,0,0,0
505.75,11.2228879897,57.4338196116,50.0,0,9657,0,0,0
302.5,10.7257075902,62.8773271807,50.0,0,9720,0,0,0
293.625,10.8309553652,60.2157617559,50.0,0,9790,0,0,0
294.875,10.9212731937,63.53290228,50.0,0,9882,0,0,0
443.0,8.48498387803,49.9893692095,50.0,0,9992,0,0,0
292.515625,11.063592341,68.7159924425,50.0,0,10097,0,0,0
467.75,9.87287346583,59.8798551147,50.0,0,10153,0,0,0
1207.125,9.48974988709,28.877185398,50.0,0,10259,0,0,0
415.125,9.15462673467,56.1562837843,50.0,0,10362,0,0,0
402.0,7.61807073015,52.3628406306,50.0,0,10448,0,0,0
499.375,8.63624720065,44.6649263622,50.0,0,10590,0,0,0
560.75,8.83432566678,42.8655756675,50.0,0,10667,0,0,0
515.5,8.95246615615,44.1907274871,50.0,0,10788,0,0,0
412.75,8.17799899698,50.7807469937,50.0,0,10840,0,0,0
479.125,9.89189313989,44.4468501956,50.0,0,10883,0,0,0
333.125,11.9838199288,61.9474812339,50.0,0,10968,0,0,0
310.5,9.99774332685,61.3928228122,50.0,0,11074,0,0,0
397.25,11.0391641483,54.9630287136,50.0,0,11166,0,0,0
615.875,10.700111953,38.6972603821,50.0,0,11220,0,0,0
607.25,9.5137342672,40.1695707064,50.0,0,11286,0,0,0
1484.0,6.10071109934,19.1795760274,50.0,0,11360,0,0,0
2097.0,6.63003183998,12.5616641812,50.0,0,11440,0,0,0
1243.125,7.63594946932,22.0606740339,50.0,0,11565,0,0,0
1643.0,6.34211765945,16.5164911477,50.0,0,11620,0,0,0
1674.125,10.4004807662,21.9536651213,50.0,0,11706,0,0,0
892.0,10.2675890692,39.2499394663,50.0,0,11792,0,0,0
626.984375,12.0336517607,54.3568992217,50.0,0,11917,0,0,0
507.6875,8.87828416998,51.6394825135,50.0,0,12016,0,0,0
424.953125,8.62495610302,54.6549096456,50.0,0,12113,0,0,0
766.875,6.73720017471,34.9368367019,50.0,0,12190,0,0,0
494.0,8.61194614994,49.8150677566,50.0,0,12299,0,0,0
575.375,9.09424573784,53.0423336287,50.0,0,12390,0,0,0
1298.75,7.16275663699,30.9273216485,50.0,0,12433,0,0,0
662.125,9.88200869168,41.6485244619,50.0,0,12610,0,0,0
377.0,10.2579820323,57.6928432942,50.0,0,12687,0,0,0
729.625,8.47229680384,39.1263975232,50.0,0,12746,0,0,0
446.015625,9.70802443978,53.0137321712,50.0,0,12854,0,0,0
592.5,7.27206271115,40.7199580437,50.0,0,12927,0,0,0
610.625,7.80832371074,40.73722257,50.0,0,12985,0,0,0
779.625,7.83997477166,31.1326087213,50.0,0,13054,0,0,0
1582.75,8.34541882022,17.2417797388,50.0,0,13121,0,0,0
425.375,10.970068327,59.479889272,50.0,0,13258,0,0,0
570.375,8.19297862339,46.9006968724,50.0,0,13354,0,0,0
602.75,8.26332881069,46.6528995823,50.0,0,13464,0,0,0
411.140625,9.78246612484,61.2567250441,50.0,0,13537,0,0,0
404.375,8.85818719839,54.7309118514,50.0,0,13662,0,0,0
367.875,9.81624952763,57.4006413131,50.0,0,13725,0,0,0
215.5,13.3475851056,75.7185393939,50.0,0,13833,0,0,0
247.359375,11.5900274807,79.31510832,50.0,0,13996,0,0,0
404.109375,8.80930833162,59.5420751188,50.0,0,14070,0,0,0
338.0,10.4956105784,62.995079909,50.0,0,14141,0,0,0
258.0,12.6174852344,71.7855036225,50.0,0,14220,0,0,0
224.25,12.6127255739,77.0890860568,50.0,0,14380,0,0,0
256.609375,11.8091569053,73.6923548962,50.0,0,14520,0,0,0
523.875,8.78719081005,56.5253035835,50.0,0,14630,0,0,0
1846.625,6.2766542447,16.5245189642,50.0,0,14702,0,0,0
304.625,12.9267495538,75.6711737131,50.0,0,14856,0,0,0
233.125,11.9307019504,74.1878142413,50.0,0,14899,0,0,0
178.40625,15.9843173871,87.5943811328,50.0,0,14991,0,0,0
291.140625,13.3645229859,68.4149243906,50.0,0,15037,0,0,0
618.5,11.6141866002,48.0913843549,50.0,0,15111,0,0,0
896.234375,13.7444065233,50.2083759212,50.0,0,15279,0,0,0
331.625,10.0615281179,60.8465350205,50.0,0,15399,0,0,0
316.75,10.2892374936,61.4504073704,50.0,0,15507,0,0,0
417.125,9.19242515506,54.7943566998,50.0,0,15611,0,0,0
1061.375,8.24853549464,34.1962704361,50.0,0,15661,0,0,0
2037.0,8.36721477455,13.2504125583,50.0,0,15740,0,0,0
598.25,9.70571757593,46.1944899722,50.0,0,15864,0,0,0
420.0,9.43383691945,52.5702994079,50.0,0,15984,0,0,0
630.25,8.570073584,37.9174628193,50.0,0,16125,0,0,0
706.875,10.4865464544,33.9525454917,50.0,0,16188,0,0,0
619.875,9.80502521973,38.6629154803,50.0,0,16241,0,0,0
559.75,10.6491004555,44.1467485878,50.0,0,16280,0,0,0
638.25,10.9345571021,38.9414531885,50.0,0,16341,0,0,0
263.375,11.1820538183,72.2516370629,50.0,0,16444,0,0,0
269.875,11.2424583143,72.0626377551,50.0,0,16521,0,0,0
357.875,10.4222084869,63.151771355,50.0,0,16598,0,0,0
444.0,9.77799464216,54.0684644652,50.0,0,16657,0,0,0
344.75,9.57896044508,60.3726176254,50.0,0,16745,0,0,0
460.5,9.28174720665,48.5604785092,50.0,0,16894,0,0,0
1167.0,6.47613553219,21.5860705433,49.0,0,16991,0,0,0
446.625,9.85710146898,55.8916648734,50.0,0,17106,0,0,0
494.375,8.18592315174,51.2179514533,50.0,0,17200,0,0,0
317.625,10.1547139681,62.8353567655,50.0,0,17275,0,0,0
495.0,8.65119822788,47.9124639344,50.0,0,17428,0,0,0
496.0,8.51789451001,48.5626796164,50.0,0,17501,0,0,0
486.625,8.9670673525,51.7420565815,50.0,0,17578,0,0,0
423.515625,9.81342036517,57.5843228499,50.0,0,17699,0,0,0
709.75,7.21706464711,37.6769340291,49.0,0,17850,0,0,0
907.75,6.41974466332,31.6801070125,50.0,0,17981,0,0,0
753.25,5.88890066128,37.4271839423,50.0,0,18130,0,0,0
394.125,8.1578711186,57.9059807248,50.0,0,18282,0,0,0
536.0,6.04508821135,43.8234039233,50.0,0,18386,0,0,0
222.46875,12.772021621,79.2314208754,50.0,0,18623,0,0,0
236.453125,10.9050702993,73.6759951659,50.0,0,18709,0,0,0
453.453125,8.59400628989,59.1112291251,50.0,0,18789,0,0,0
487.75,6.34364620671,58.7725851519,50.0,0,18960,0,0,0
289.125,7.68437412743,69.7469741004,49.0,0,19033,0,0,0
448.84375,9.42818237871,59.6720531571,50.0,0,19173,0,0,0
422.375,8.58601365346,60.5221536886,50.0,0,19301,0,0,0
843.125,5.72536220517,40.7754838369,50.0,0,19391,0,0,0
401.78125,9.66334871369,65.2531706739,50.0,0,19585,0,0,0
468.5,7.46052068172,57.7328204557,50.0,0,19720,0,0,0
827.375,7.10930868842,38.9596436991,50.0,0,19836,0,0,0
354.125,8.64637995735,65.1590897658,50.0,0,19984,0,0,0
352.125,8.48903116293,66.2078806305,50.0,0,20089,0,0,0
571.0,6.8858527438,43.653096606,50.0,0,20215,0,0,0
820.125,5.5134339017,35.733698688,50.0,0,20322,0,0,0
1037.25,5.98369517183,29.6849515957,50.0,0,20479,0,0,0
929.125,6.03106014729,33.5258302671,50.0,0,20556,0,0,0
808.875,6.62860986273,35.8920373385,50.0,0,20631,0,0,0
