delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
22.8900367832,0.079580263204,0.16646547275,10.0,0,808,0.694959101567,0.01491522789,29_21_0
158.545280881,0.161665098751,0.138756680421,5.0,0,944,0.671927295778,0.0118670463562,43_7_0
19.564453125,0.307841875523,0.252095194057,1.0,0,1096,0.600578266381,0.0495750904083,50_0_0
0.0,0.0863759398496,0.145417721519,1.0,0,1216,0.498347605994,0.0392670631409,50_0_0
0.0,0.198068965517,0.638222222222,1.0,0,1317,0.517171448444,0.0531759262085,50_0_0
54.0,0.0745974025974,1.75511111111,11.0,0,1428,0.459729826944,0.0379288196564,43_7_0
92.8529968262,0.277177723888,1.03683504267,11.0,0,1450,0.517477442627,0.00884604454041,42_8_0
121.265625,0.541236280488,0.851033682389,11.0,0,1639,0.589762098143,0.00339913368225,44_6_0
201.625,0.527683818551,0.511471699391,1.0,0,1712,0.56436405323,0.00296497344971,46_4_0
271.841796875,0.394844939637,0.253067499983,1.0,0,1798,0.530085681331,0.00494503974915,48_2_0
296.705078125,0.309604277427,0.0929715490328,1.0,0,1893,0.682408340797,0.00586009025574,50_0_0
881.0,0.0126519823789,0.0127786429366,1.0,0,2800,0.267097510081,0.000240802764893,50_0_0
25.0,0.234448979592,0.267162790698,1.0,0,2987,0.927969327769,0.11083316803,50_0_0
30.0,0.0595233160622,0.239333333333,1.0,0,3115,0.531122761631,0.073117017746,50_0_0
13.0,0.101663716814,0.370580645161,1.0,0,3190,0.627225507107,0.0258049964905,49_0_0
30.0,0.129078651685,0.239333333333,1.0,0,3364,0.426277799533,0.122654914856,50_0_0
21.0,0.0696242424242,0.294564102564,1.0,0,3455,0.384587515299,0.0498521327972,50_0_0
66.0,0.0832463768116,0.136761904762,1.0,0,3552,0.491846037074,0.0100250244141,50_0_0
55.0,0.135152941176,0.157369863014,1.0,0,3786,0.563809628451,0.117746114731,50_0_0
53.0,0.049094017094,0.161802816901,1.0,0,3904,0.442195788164,0.0379960536957,50_0_0
97.0,0.0671812865497,0.0998956521739,1.0,0,4114,0.457371963121,0.0830669403076,50_0_0
29.0,0.0803356643357,0.244425531915,1.0,0,4249,0.513331716039,0.0440130233765,50_0_0
174.0,0.0428656716418,0.0598333333333,1.0,0,4453,0.260771301131,0.00925993919373,50_0_0
128.0,0.0727088607595,0.0786849315068,1.0,0,4649,0.500199976037,0.0186347961426,50_0_0
86.0,0.0750849673203,0.110461538462,1.0,0,4805,0.736152542789,0.0468611717224,50_0_0
97.0,0.0687904191617,0.0998956521739,1.0,0,5002,0.474624070536,0.0635521411896,50_0_0
56.0,0.0709135802469,0.155243243243,1.0,0,5144,0.536082737253,0.0447249412537,50_0_0
47.0,0.0904566929134,0.176738461538,1.0,0,5258,0.447792801598,0.0453410148621,50_0_0
74.0,0.0792275862069,0.124869565217,1.0,0,5388,0.417746430821,0.0331318378448,50_0_0
95.0,0.0781496598639,0.101663716814,1.0,0,5536,0.442032205807,0.0348560810089,50_0_0
102.0,0.0741161290323,0.0957333333333,1.0,0,5657,0.457663725747,0.000417947769165,50_0_0
12.0,0.370580645161,0.382933333333,1.0,0,5785,0.534929792905,0.076975107193,50_0_0
14.0,0.0883692307692,0.359,1.0,0,5898,0.511622936777,0.0609469413757,50_0_0
59.0,0.072251572327,0.149194805195,1.0,0,6026,0.375264939475,0.0487718582153,50_0_0
58.0,0.0904566929134,0.151157894737,1.0,0,6199,0.732700397673,0.0749399662018,50_0_0
62.0,0.0634696132597,0.1436,1.0,0,6348,0.499933921674,0.0632529258728,50_0_0
38.0,0.0949421487603,0.205142857143,1.0,0,6458,0.507123158319,0.048054933548,50_0_0
153.0,0.0510577777778,0.0671812865497,1.0,0,6631,0.49262499163,0.000497817993164,50_0_0
95.0,0.100771929825,0.101663716814,1.0,0,6801,0.536748256571,0.0540552139282,50_0_0
71.0,0.0781496598639,0.129078651685,1.0,0,6964,0.571982939305,0.072564125061,50_0_0
