delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
34.4151286846,0.372883350451,0.781294675286,10.0,0,337,0.527569150361,0.00234699249268,2_13_0
189.840339221,0.334609233698,0.237240758508,5.0,0,529,0.603702477254,0.001788854599,8_12_0
52.0607910156,0.308070878045,0.234013207623,2.5,0,639,0.503409053744,0.00254487991333,17_3_0
1.75,0.220306872959,0.221590810138,1.25,0,708,0.501195003789,0.00941395759583,18_2_0
8.75,0.317954911433,0.225458937198,2.5,0,765,0.536964695539,0.00206708908081,17_3_0
8.765625,0.38308860647,0.35494521052,1.25,0,865,0.615915392609,0.00195693969727,14_6_0
41.75,0.221020707071,0.120521428571,1.0,0,956,0.73933210925,0.0104901790619,13_7_0
28.0,0.122212765957,0.140097560976,1.0,0,1047,0.591988677312,0.0073549747467,18_2_0
0.0,0.267162790698,0.337882352941,1.0,0,1085,0.638419712167,0.00155186653137,20_0_0
76.0,0.101663716814,0.208872727273,2.0,0,1200,0.376692072205,0.00463008880615,20_0_0
82.625,0.180808945066,0.0985229410088,1.0,0,1335,0.3319297998,0.012845993042,20_0_0
40.0,0.132045977011,0.155243243243,1.0,0,1413,0.329918357331,0.00398516654968,20_0_0
6.75,0.668862679211,0.831290983607,1.0,0,1501,0.53132410264,0.00355195999146,20_0_0
23.0,0.328228571429,0.382933333333,1.0,0,1534,0.494757324217,0.00255417823792,20_0_0
45.0,0.212740740741,0.220923076923,1.0,0,1589,0.704491062299,0.00310397148132,20_0_0
323.0,0.0344984984985,0.0348121212121,1.0,0,1921,0.422482482823,0.00252795219421,20_0_0
24.0,0.348121212121,0.370580645161,1.0,0,1957,0.247431397979,0.00453615188599,20_0_0
14.875,0.461571428571,0.539614906832,1.0,0,1997,0.679548749673,0.0029399394989,20_0_0
24.0,0.337882352941,0.370580645161,1.0,0,2032,0.829568969767,0.00481104850769,20_0_0
17.125,0.414844444444,0.481857777778,1.0,0,2082,0.914323079686,0.0056140422821,20_0_0
28.0,0.280195121951,0.328228571429,1.0,0,2131,0.863653337695,0.0123541355133,20_0_0
18.5,0.316572727273,0.451888111888,1.0,0,2181,0.71928093463,0.00186991691589,20_0_0
28.0,0.302315789474,0.328228571429,1.0,0,2222,0.732891397336,0.0044469833374,20_0_0
33.0,0.255288888889,0.2872,1.0,0,2266,0.673677820444,0.00443410873413,20_0_0
10.0,0.562433333333,0.688083333333,1.0,0,2308,0.862659266324,0.00169014930725,20_0_0
24.0,0.348121212121,0.370580645161,1.0,0,2346,0.821354312232,0.00609493255615,20_0_0
26.0,0.2872,0.348121212121,1.0,0,2384,0.773153600315,0.00560998916626,20_0_0
17.125,0.392506666667,0.476273333333,1.0,0,2437,0.638088845482,0.00253295898438,20_0_0
